370-0000 群馬県 高崎市 
377-0801 群馬県 吾妻郡東吾妻町 原町
377-0802 群馬県 吾妻郡東吾妻町 川戸
377-0803 群馬県 吾妻郡東吾妻町 金井
377-0804 群馬県 吾妻郡東吾妻町 岩井
377-0805 群馬県 吾妻郡東吾妻町 植栗
377-0806 群馬県 吾妻郡東吾妻町 小泉
377-0807 群馬県 吾妻郡東吾妻町 泉沢
377-0811 群馬県 吾妻郡東吾妻町 郷原
377-0812 群馬県 吾妻郡東吾妻町 厚田
377-0813 群馬県 吾妻郡東吾妻町 三島
377-0814 群馬県 吾妻郡東吾妻町 松谷
377-0815 群馬県 吾妻郡東吾妻町 岩下
377-0816 群馬県 吾妻郡東吾妻町 矢倉
377-0882 群馬県 吾妻郡東吾妻町 原町
377-0883 群馬県 吾妻郡東吾妻町 原町
377-0892 群馬県 吾妻郡東吾妻町 原町
377-0893 群馬県 吾妻郡東吾妻町 原町
377-0894 群馬県 吾妻郡東吾妻町 原町
377-0896 群馬県 吾妻郡東吾妻町 原町
377-0897 群馬県 吾妻郡東吾妻町 川戸
377-0898 群馬県 吾妻郡東吾妻町 川戸
377-0931 群馬県 吾妻郡東吾妻町 大戸
377-0932 群馬県 吾妻郡東吾妻町 萩生
377-0933 群馬県 吾妻郡東吾妻町 本宿
377-0934 群馬県 吾妻郡東吾妻町 須賀尾
377-0935 群馬県 吾妻郡東吾妻町 大柏木
377-1300 群馬県 吾妻郡長野原町 
377-1301 群馬県 吾妻郡長野原町 川原畑
377-1302 群馬県 吾妻郡長野原町 川原湯
377-1303 群馬県 吾妻郡長野原町 横壁
377-1304 群馬県 吾妻郡長野原町 長野原
377-1305 群馬県 吾妻郡長野原町 与喜屋
377-1306 群馬県 吾妻郡長野原町 古森
377-1307 群馬県 吾妻郡長野原町 羽根尾
377-1308 群馬県 吾妻郡長野原町 大津
377-1309 群馬県 吾妻郡長野原町 林
377-1310 群馬県 吾妻郡長野原町 応桑
377-1311 群馬県 吾妻郡中之条町 赤岩
377-1312 群馬県 吾妻郡中之条町 日影
377-1392 群馬県 吾妻郡長野原町 長野原
377-1393 群馬県 吾妻郡長野原町 与喜屋
377-1395 群馬県 吾妻郡長野原町 与喜屋
377-1401 群馬県 吾妻郡嬬恋村 鎌原
377-1402 群馬県 吾妻郡嬬恋村 鎌原
377-1403 群馬県 吾妻郡嬬恋村 鎌原
377-1404 群馬県 吾妻郡嬬恋村 鎌原
377-1405 群馬県 吾妻郡嬬恋村 鎌原
377-1411 群馬県 吾妻郡長野原町 応桑
377-1412 群馬県 吾妻郡長野原町 北軽井沢
377-1500 群馬県 吾妻郡嬬恋村 
377-1512 群馬県 吾妻郡嬬恋村 大前
377-1521 群馬県 吾妻郡嬬恋村 今井
377-1522 群馬県 吾妻郡嬬恋村 袋倉
377-1523 群馬県 吾妻郡嬬恋村 芦生田
377-1524 群馬県 吾妻郡嬬恋村 鎌原
377-1525 群馬県 吾妻郡嬬恋村 西窪
377-1526 群馬県 吾妻郡嬬恋村 三原
377-1527 群馬県 吾妻郡嬬恋村 門貝
377-1528 群馬県 吾妻郡嬬恋村 干俣
377-1528 群馬県 吾妻郡嬬恋村 干俣
377-1593 群馬県 吾妻郡嬬恋村 鎌原
377-1594 群馬県 吾妻郡嬬恋村 三原
377-1595 群馬県 吾妻郡嬬恋村 干俣
377-1611 群馬県 吾妻郡嬬恋村 干俣
377-1612 群馬県 吾妻郡嬬恋村 大前
377-1613 群馬県 吾妻郡嬬恋村 大笹
377-1614 群馬県 吾妻郡嬬恋村 田代
377-1615 群馬県 吾妻郡嬬恋村 鎌原
377-1616 群馬県 吾妻郡嬬恋村 鎌原
377-1617 群馬県 吾妻郡嬬恋村 鎌原
377-1692 群馬県 吾妻郡嬬恋村 大前
377-1693 群馬県 吾妻郡嬬恋村 大前
377-1695 群馬県 吾妻郡嬬恋村 田代
377-1700 群馬県 吾妻郡草津町 
377-1700 群馬県 吾妻郡六合村 
377-1701 群馬県 吾妻郡中之条町 入山
377-1702 群馬県 吾妻郡中之条町 生須
377-1703 群馬県 吾妻郡中之条町 太子
377-1704 群馬県 吾妻郡中之条町 小雨
377-1711 群馬県 吾妻郡草津町 草津
377-1712 群馬県 吾妻郡草津町 前口
377-1792 群馬県 吾妻郡草津町 草津
377-1793 群馬県 吾妻郡草津町 草津
377-1794 群馬県 吾妻郡草津町 草津
377-1795 群馬県 吾妻郡中之条町 小雨
377-1796 群馬県 吾妻郡草津町 草津
377-1797 群馬県 吾妻郡草津町 草津
377-8501 群馬県 渋川市 石原
377-8502 群馬県 渋川市 北橘町真壁
377-8503 群馬県 渋川市 渋川
377-8508 群馬県 渋川市 渋川
377-8510 群馬県 渋川市 中村
377-8511 群馬県 渋川市 金井
377-8513 群馬県 渋川市 渋川
377-8520 群馬県 渋川市 中村
377-8533 群馬県 渋川市 
377-8555 群馬県 渋川市 北橘町下箱田
377-8567 群馬県 渋川市 渋川
377-8577 群馬県 渋川市 北橘町下箱田
377-8585 群馬県 渋川市 渋川
377-8588 群馬県 渋川市 石原
377-8601 群馬県 渋川市 半田
377-8616 群馬県 渋川市 石原
378-0000 群馬県 沼田市 
378-0001 群馬県 沼田市 戸神町
378-0002 群馬県 沼田市 横塚町
378-0003 群馬県 沼田市 上久屋町
378-0004 群馬県 沼田市 下久屋町
378-0005 群馬県 沼田市 久屋原町
378-0011 群馬県 沼田市 上沼須町
378-0012 群馬県 沼田市 沼須町
378-0013 群馬県 沼田市 新町
378-0014 群馬県 沼田市 栄町
378-0015 群馬県 沼田市 戸鹿野町
378-0016 群馬県 沼田市 清水町
378-0017 群馬県 沼田市 坊新田町
378-0018 群馬県 沼田市 鍛冶町
378-0021 群馬県 沼田市 岩本町
378-0022 群馬県 沼田市 屋形原町
378-0023 群馬県 沼田市 篠尾町
378-0024 群馬県 沼田市 下川田町
378-0025 群馬県 沼田市 今井町
378-0026 群馬県 沼田市 上川田町
378-0031 群馬県 沼田市 薄根町
378-0032 群馬県 沼田市 硯田町
378-0033 群馬県 沼田市 白岩町
378-0034 群馬県 沼田市 恩田町
378-0035 群馬県 沼田市 井土上町
378-0041 群馬県 沼田市 榛名町
378-0042 群馬県 沼田市 西倉内町
378-0043 群馬県 沼田市 東倉内町
378-0044 群馬県 沼田市 下之町
378-0045 群馬県 沼田市 材木町
378-0046 群馬県 沼田市 馬喰町
378-0047 群馬県 沼田市 上之町
378-0048 群馬県 沼田市 中町
378-0051 群馬県 沼田市 上原町
378-0052 群馬県 沼田市 桜町
378-0053 群馬県 沼田市 東原新町
378-0054 群馬県 沼田市 西原新町
378-0055 群馬県 沼田市 柳町
378-0056 群馬県 沼田市 高橋場町
378-0061 群馬県 沼田市 岡谷町
378-0062 群馬県 沼田市 町田町
378-0063 群馬県 沼田市 下沼田町
378-0064 群馬県 沼田市 善桂寺町
378-0065 群馬県 沼田市 堀廻町
378-0066 群馬県 沼田市 原町
378-0067 群馬県 沼田市 大釜町
378-0068 群馬県 沼田市 宇楚井町
378-0071 群馬県 沼田市 上発知町
378-0072 群馬県 沼田市 中発知町
378-0073 群馬県 沼田市 発知新田町
378-0074 群馬県 沼田市 下発知町
378-0075 群馬県 沼田市 奈良町
378-0076 群馬県 沼田市 秋塚町
378-0077 群馬県 沼田市 石墨町
378-0078 群馬県 沼田市 佐山町
378-0100 群馬県 利根郡川場村 
378-0101 群馬県 利根郡川場村 谷地
378-0102 群馬県 利根郡川場村 川場湯原
378-0103 群馬県 利根郡川場村 中野
378-0104 群馬県 利根郡川場村 太田川
378-0105 群馬県 利根郡川場村 小田川
378-0111 群馬県 利根郡川場村 萩室
378-0112 群馬県 利根郡川場村 立岩
378-0113 群馬県 利根郡川場村 生品
378-0114 群馬県 利根郡川場村 天神
378-0115 群馬県 利根郡川場村 門前
378-0121 群馬県 沼田市 白沢町高平
378-0122 群馬県 沼田市 白沢町生枝
378-0123 群馬県 沼田市 白沢町岩室
378-0124 群馬県 沼田市 白沢町尾合
378-0125 群馬県 沼田市 白沢町平出
378-0126 群馬県 沼田市 白沢町上古語父
378-0127 群馬県 沼田市 白沢町下古語父
378-0301 群馬県 沼田市 利根町平川
378-0302 群馬県 沼田市 利根町千鳥
378-0303 群馬県 沼田市 利根町追貝
378-0304 群馬県 沼田市 利根町大楊
378-0305 群馬県 沼田市 利根町穴原
378-0306 群馬県 沼田市 利根町日向南郷
378-0307 群馬県 沼田市 利根町柿平
378-0311 群馬県 沼田市 利根町小松
378-0312 群馬県 沼田市 利根町根利
378-0313 群馬県 沼田市 利根町日影南郷
378-0314 群馬県 沼田市 利根町青木
378-0315 群馬県 沼田市 利根町砂川
378-0316 群馬県 沼田市 利根町二本松
378-0317 群馬県 沼田市 利根町多那
378-0321 群馬県 沼田市 利根町高戸谷
378-0322 群馬県 沼田市 利根町老神
378-0323 群馬県 沼田市 利根町大原
378-0324 群馬県 沼田市 利根町園原
378-0325 群馬県 沼田市 利根町輪組
378-0326 群馬県 沼田市 利根町石戸新田
378-0400 群馬県 利根郡片品村 
378-0401 群馬県 利根郡片品村 須賀川
378-0402 群馬県 利根郡片品村 御座入
378-0403 群馬県 利根郡片品村 菅沼
378-0404 群馬県 利根郡片品村 築地
378-0405 群馬県 利根郡片品村 下平
378-0406 群馬県 利根郡片品村 摺淵
378-0407 群馬県 利根郡片品村 幡谷
378-0408 群馬県 利根郡片品村 花咲
378-0409 群馬県 利根郡片品村 針山
378-0411 群馬県 利根郡片品村 戸倉
378-0412 群馬県 利根郡片品村 土出
378-0413 群馬県 利根郡片品村 越本
378-0414 群馬県 利根郡片品村 東小川
378-0415 群馬県 利根郡片品村 鎌田
378-0498 群馬県 利根郡片品村 鎌田
378-8501 群馬県 沼田市 西倉内町
379-0100 群馬県 安中市 
379-0101 群馬県 安中市 西上秋間
379-0102 群馬県 安中市 東上秋間
379-0103 群馬県 安中市 中秋間
379-0104 群馬県 安中市 下秋間
379-0105 群馬県 安中市 小俣
379-0106 群馬県 安中市 下後閑
379-0107 群馬県 安中市 中後閑
379-0108 群馬県 安中市 上後閑
379-0109 群馬県 安中市 秋間みのりが丘
379-0111 群馬県 安中市 板鼻
379-0112 群馬県 安中市 岩井
379-0113 群馬県 安中市 大谷
379-0114 群馬県 安中市 野殿
379-0115 群馬県 安中市 中宿
379-0116 群馬県 安中市 安中
379-0121 群馬県 安中市 大竹
379-0122 群馬県 安中市 下間仁田
379-0123 群馬県 安中市 上間仁田
379-0124 群馬県 安中市 鷺宮
379-0125 群馬県 安中市 中野谷
379-0126 群馬県 安中市 西上磯部
379-0127 群馬県 安中市 磯部
379-0128 群馬県 安中市 東上磯部
379-0129 群馬県 安中市 下磯部
379-0131 群馬県 安中市 古屋
379-0132 群馬県 安中市 高別当
379-0133 群馬県 安中市 原市
379-0134 群馬県 安中市 簗瀬
379-0135 群馬県 安中市 郷原
379-0136 群馬県 安中市 嶺
379-0192 群馬県 安中市 安中
379-0193 群馬県 安中市 原市
379-0195 群馬県 安中市 磯部
379-0196 群馬県 安中市 磯部
379-0201 群馬県 富岡市 妙義町妙義
379-0202 群馬県 富岡市 妙義町大牛
379-0203 群馬県 富岡市 妙義町岳
379-0204 群馬県 富岡市 妙義町行沢
379-0205 群馬県 富岡市 妙義町北山
379-0206 群馬県 富岡市 妙義町中里
379-0207 群馬県 富岡市 妙義町古立
379-0208 群馬県 富岡市 妙義町菅原
379-0209 群馬県 富岡市 妙義町諸戸
379-0211 群馬県 安中市 松井田町上増田
379-0212 群馬県 安中市 松井田町下増田
379-0213 群馬県 安中市 松井田町小日向
379-0214 群馬県 安中市 松井田町国衙
379-0215 群馬県 安中市 松井田町高梨子
379-0216 群馬県 安中市 松井田町新井
379-0217 群馬県 安中市 松井田町土塩
379-0221 群馬県 安中市 松井田町新堀
379-0222 群馬県 安中市 松井田町松井田
379-0223 群馬県 安中市 松井田町二軒在家
379-0224 群馬県 安中市 松井田町人見
379-0225 群馬県 安中市 松井田町八城
379-0226 群馬県 安中市 松井田町行田
379-0292 群馬県 安中市 松井田町新堀
379-0301 群馬県 安中市 松井田町横川
379-0302 群馬県 安中市 松井田町五料
379-0303 群馬県 安中市 松井田町西野牧
379-0304 群馬県 安中市 松井田町北野牧
379-0305 群馬県 安中市 松井田町入山
379-0306 群馬県 安中市 松井田町原
379-0307 群馬県 安中市 松井田町坂本
379-1101 群馬県 渋川市 赤城町棚下
379-1102 群馬県 渋川市 赤城町長井小川田
379-1103 群馬県 渋川市 赤城町津久田
379-1104 群馬県 渋川市 赤城町敷島
379-1105 群馬県 渋川市 赤城町北上野
379-1111 群馬県 渋川市 赤城町北赤城山
379-1112 群馬県 渋川市 赤城町深山
379-1113 群馬県 渋川市 赤城町南赤城山
379-1114 群馬県 渋川市 赤城町栄
379-1115 群馬県 渋川市 赤城町溝呂木
379-1116 群馬県 渋川市 赤城町持柏木
379-1121 群馬県 渋川市 赤城町宮田
379-1122 群馬県 渋川市 赤城町勝保沢
379-1123 群馬県 渋川市 赤城町見立
379-1124 群馬県 渋川市 赤城町滝沢
379-1125 群馬県 渋川市 赤城町上三原田
379-1126 群馬県 渋川市 赤城町三原田
379-1127 群馬県 渋川市 赤城町樽
379-1192 群馬県 渋川市 赤城町敷島
379-1200 群馬県 利根郡昭和村 
379-1201 群馬県 利根郡昭和村 生越
379-1202 群馬県 利根郡昭和村 貝野瀬
379-1203 群馬県 利根郡昭和村 糸井
379-1204 群馬県 利根郡昭和村 森下
379-1205 群馬県 利根郡昭和村 川額
379-1206 群馬県 利根郡昭和村 橡久保
379-1207 群馬県 利根郡昭和村 赤城原
379-1298 群馬県 利根郡昭和村 糸井
379-1300 群馬県 利根郡みなかみ町 
379-1301 群馬県 利根郡みなかみ町 奈女沢
379-1302 群馬県 利根郡みなかみ町 大沼
379-1303 群馬県 利根郡みなかみ町 上牧
379-1304 群馬県 利根郡みなかみ町 下牧
379-1305 群馬県 利根郡みなかみ町 後閑
379-1306 群馬県 利根郡みなかみ町 師
379-1307 群馬県 利根郡みなかみ町 政所
379-1308 群馬県 利根郡みなかみ町 真庭
379-1311 群馬県 利根郡みなかみ町 石倉
379-1312 群馬県 利根郡みなかみ町 小川
379-1313 群馬県 利根郡みなかみ町 月夜野
379-1314 群馬県 利根郡みなかみ町 下津
379-1315 群馬県 利根郡みなかみ町 上津
379-1393 群馬県 利根郡みなかみ町 後閑
379-1401 群馬県 利根郡みなかみ町 永井
379-1402 群馬県 利根郡みなかみ町 吹路
379-1403 群馬県 利根郡みなかみ町 猿ケ京温泉
379-1404 群馬県 利根郡みなかみ町 相俣
379-1409 群馬県 利根郡みなかみ町 湯宿温泉
379-1411 群馬県 利根郡みなかみ町 新巻
379-1412 群馬県 利根郡みなかみ町 羽場
379-1413 群馬県 利根郡みなかみ町 師田
379-1414 群馬県 利根郡みなかみ町 布施
379-1415 群馬県 利根郡みなかみ町 西峰須川
379-1416 群馬県 利根郡みなかみ町 入須川
379-1417 群馬県 利根郡みなかみ町 東峰
379-1418 群馬県 利根郡みなかみ町 須川
379-1498 群馬県 利根郡みなかみ町 布施
379-1601 群馬県 利根郡みなかみ町 吉本
379-1611 群馬県 利根郡みなかみ町 鹿野沢
379-1612 群馬県 利根郡みなかみ町 小日向
379-1613 群馬県 利根郡みなかみ町 高日向
379-1614 群馬県 利根郡みなかみ町 寺間
379-1615 群馬県 利根郡みなかみ町 小仁田
379-1616 群馬県 利根郡みなかみ町 川上
379-1617 群馬県 利根郡みなかみ町 湯原
379-1618 群馬県 利根郡みなかみ町 阿能川
379-1619 群馬県 利根郡みなかみ町 谷川
379-1692 群馬県 利根郡みなかみ町 湯原
379-1721 群馬県 利根郡みなかみ町 藤原
379-1722 群馬県 利根郡みなかみ町 夜後
379-1723 群馬県 利根郡みなかみ町 粟沢
379-1724 群馬県 利根郡みなかみ町 向山
379-1725 群馬県 利根郡みなかみ町 綱子
379-1726 群馬県 利根郡みなかみ町 幸知
379-1727 群馬県 利根郡みなかみ町 大穴
379-1728 群馬県 利根郡みなかみ町 湯桧曽
379-2101 群馬県 前橋市 泉沢町
379-2102 群馬県 前橋市 下大屋町
379-2103 群馬県 前橋市 神沢の森
379-2104 群馬県 前橋市 西大室町
379-2105 群馬県 前橋市 東大室町
379-2106 群馬県 前橋市 荒子町
379-2107 群馬県 前橋市 荒口町
379-2108 群馬県 前橋市 鶴が谷町
379-2111 群馬県 前橋市 飯土井町
379-2112 群馬県 前橋市 新井町
379-2113 群馬県 前橋市 下増田町
379-2114 群馬県 前橋市 上増田町
379-2115 群馬県 前橋市 笂井町
379-2116 群馬県 前橋市 今井町
379-2117 群馬県 前橋市 二之宮町
379-2121 群馬県 前橋市 小屋原町
379-2122 群馬県 前橋市 駒形町
379-2123 群馬県 前橋市 山王町
379-2131 群馬県 前橋市 西善町
379-2132 群馬県 前橋市 東善町
379-2133 群馬県 前橋市 中内町
379-2134 群馬県 前橋市 力丸町
379-2135 群馬県 前橋市 徳丸町
379-2136 群馬県 前橋市 房丸町
379-2141 群馬県 前橋市 鶴光路町
379-2142 群馬県 前橋市 下阿内町
379-2143 群馬県 前橋市 新堀町
379-2144 群馬県 前橋市 下川町
379-2145 群馬県 前橋市 横手町
379-2146 群馬県 前橋市 公田町
379-2147 群馬県 前橋市 亀里町
379-2151 群馬県 前橋市 下長磯町
379-2152 群馬県 前橋市 下大島町
379-2153 群馬県 前橋市 上大島町
379-2154 群馬県 前橋市 天川大島町
379-2161 群馬県 前橋市 富田町
379-2162 群馬県 前橋市 小島田町
379-2163 群馬県 前橋市 女屋町
379-2164 群馬県 前橋市 東上野町
379-2165 群馬県 前橋市 上長磯町
379-2166 群馬県 前橋市 野中町
379-2180 群馬県 前橋市 下阿内町
379-2181 群馬県 前橋市 天川大島町
379-2184 群馬県 前橋市 小屋原町
379-2185 群馬県 前橋市 小屋原町
379-2187 群馬県 前橋市 亀里町
379-2192 群馬県 前橋市 小屋原町
379-2193 群馬県 前橋市 下大島町
379-2194 群馬県 前橋市 野中町
379-2195 群馬県 前橋市 力丸町
379-2197 群馬県 前橋市 駒形町
379-2198 群馬県 前橋市 力丸町
379-2201 群馬県 伊勢崎市 間野谷町
379-2202 群馬県 伊勢崎市 赤堀鹿島町
379-2203 群馬県 伊勢崎市 曲沢町
379-2204 群馬県 伊勢崎市 西久保町
379-2205 群馬県 伊勢崎市 野町
379-2206 群馬県 伊勢崎市 香林町
379-2211 群馬県 伊勢崎市 市場町
379-2212 群馬県 伊勢崎市 堀下町
379-2213 群馬県 伊勢崎市 五目牛町
379-2214 群馬県 伊勢崎市 下触町
379-2215 群馬県 伊勢崎市 赤堀今井町
379-2216 群馬県 伊勢崎市 西野町
379-2217 群馬県 伊勢崎市 磯町
379-2221 群馬県 伊勢崎市 国定町
379-2222 群馬県 伊勢崎市 田部井町
379-2224 群馬県 伊勢崎市 西小保方町
379-2225 群馬県 伊勢崎市 上田町
379-2231 群馬県 伊勢崎市 東町
379-2232 群馬県 伊勢崎市 小泉町
379-2233 群馬県 伊勢崎市 平井町
379-2234 群馬県 伊勢崎市 東小保方町
379-2235 群馬県 伊勢崎市 三室町
379-2236 群馬県 伊勢崎市 八寸町
379-2292 群馬県 伊勢崎市 東町
379-2298 群馬県 伊勢崎市 西久保町
379-2301 群馬県 太田市 藪塚町
379-2302 群馬県 太田市 山之神町
379-2303 群馬県 太田市 寄合町
379-2304 群馬県 太田市 大原町
379-2305 群馬県 太田市 六千石町
379-2306 群馬県 太田市 大久保町
379-2311 群馬県 みどり市 笠懸町阿左美
379-2312 群馬県 みどり市 笠懸町久宮
379-2313 群馬県 みどり市 笠懸町鹿
379-2314 群馬県 みどり市 笠懸町西鹿田
379-2392 群馬県 みどり市 笠懸町阿左美
379-2393 群馬県 太田市 大原町
379-2395 群馬県 みどり市 笠懸町鹿
379-2398 群馬県 みどり市 笠懸町阿左美
