480-0100 愛知県 丹羽郡大口町 
480-0100 愛知県 丹羽郡扶桑町 
488-0844 愛知県 尾張旭市 東名西町
488-0845 愛知県 尾張旭市 霞ケ丘町南
488-0846 愛知県 尾張旭市 霞ケ丘町中
488-0847 愛知県 尾張旭市 霞ケ丘町北
488-0851 愛知県 尾張旭市 旭前町北
488-0852 愛知県 尾張旭市 旭前町新田洞
488-0853 愛知県 尾張旭市 旭前町広久手
488-0854 愛知県 尾張旭市 旭前町西新田
488-0857 愛知県 尾張旭市 桜ケ丘町西
488-0858 愛知県 尾張旭市 白鳳町
488-0859 愛知県 尾張旭市 桜ケ丘町
488-0861 愛知県 尾張旭市 城前町城前
488-0863 愛知県 尾張旭市 城前町上大道
488-0864 愛知県 尾張旭市 城前町八瀬の木西
488-0865 愛知県 尾張旭市 城前町砂川
488-0866 愛知県 尾張旭市 城前町茅池
488-0871 愛知県 尾張旭市 平子町東
488-0872 愛知県 尾張旭市 平子町長池上
488-0873 愛知県 尾張旭市 平子町中通
488-0874 愛知県 尾張旭市 平子町西
488-0875 愛知県 尾張旭市 平子町北
488-0876 愛知県 尾張旭市 平子ケ丘町
488-0881 愛知県 尾張旭市 城山町三ツ池
488-0882 愛知県 尾張旭市 城山町向ケ丘
488-0883 愛知県 尾張旭市 城山町長池下
488-0884 愛知県 尾張旭市 城山町城山
488-8501 愛知県 尾張旭市 晴丘町池上
488-8505 愛知県 尾張旭市 晴丘町東
488-8520 愛知県 尾張旭市 三郷町角田
488-8555 愛知県 尾張旭市 新居
488-8578 愛知県 尾張旭市 下井町刎内
488-8585 愛知県 尾張旭市 平子町北
488-8655 愛知県 尾張旭市 旭前町新田洞
488-8666 愛知県 尾張旭市 東大道町原田
488-8686 愛知県 尾張旭市 狩宿新町
488-8688 愛知県 尾張旭市 
489-0000 愛知県 瀬戸市 
489-0001 愛知県 瀬戸市 川平町
489-0002 愛知県 瀬戸市 余床町
489-0003 愛知県 瀬戸市 穴田町
489-0004 愛知県 瀬戸市 日の出町
489-0005 愛知県 瀬戸市 中水野町
489-0006 愛知県 瀬戸市 三沢町
489-0007 愛知県 瀬戸市 鹿乗町
489-0008 愛知県 瀬戸市 曽野町
489-0009 愛知県 瀬戸市 水北町
489-0011 愛知県 瀬戸市 針原町
489-0012 愛知県 瀬戸市 長谷口町
489-0013 愛知県 瀬戸市 中白坂町
489-0014 愛知県 瀬戸市 北白坂町
489-0015 愛知県 瀬戸市 東白坂町
489-0016 愛知県 瀬戸市 南白坂町
489-0017 愛知県 瀬戸市 白坂町
489-0018 愛知県 瀬戸市 西白坂町
489-0021 愛知県 瀬戸市 馬ケ城町
489-0022 愛知県 瀬戸市 赤津町
489-0023 愛知県 瀬戸市 窯元町
489-0024 愛知県 瀬戸市 八王子町
489-0025 愛知県 瀬戸市 凧山町
489-0026 愛知県 瀬戸市 東明町
489-0027 愛知県 瀬戸市 東拝戸町
489-0028 愛知県 瀬戸市 西窯町
489-0029 愛知県 瀬戸市 中畑町
489-0031 愛知県 瀬戸市 五位塚町
489-0032 愛知県 瀬戸市 古瀬戸町
489-0033 愛知県 瀬戸市 須原町
489-0034 愛知県 瀬戸市 刎田町
489-0035 愛知県 瀬戸市 紺屋田町
489-0036 愛知県 瀬戸市 西古瀬戸町
489-0037 愛知県 瀬戸市 東古瀬戸町
489-0041 愛知県 瀬戸市 背戸側町
489-0042 愛知県 瀬戸市 仲切町
489-0043 愛知県 瀬戸市 朝日町
489-0044 愛知県 瀬戸市 栄町
489-0045 愛知県 瀬戸市 陶本町
489-0046 愛知県 瀬戸市 元町
489-0047 愛知県 瀬戸市 西谷町
489-0048 愛知県 瀬戸市 窯神町
489-0051 愛知県 瀬戸市 下陣屋町
489-0052 愛知県 瀬戸市 安戸町
489-0053 愛知県 瀬戸市 東安戸町
489-0054 愛知県 瀬戸市 道泉町
489-0055 愛知県 瀬戸市 滝之湯町
489-0056 愛知県 瀬戸市 東十三塚町
489-0057 愛知県 瀬戸市 西十三塚町
489-0058 愛知県 瀬戸市 進陶町
489-0061 愛知県 瀬戸市 上本町
489-0062 愛知県 瀬戸市 上水野町
489-0063 愛知県 瀬戸市 上陣屋町
489-0064 愛知県 瀬戸市 小金町
489-0065 愛知県 瀬戸市 西追分町
489-0066 愛知県 瀬戸市 東横山町
489-0067 愛知県 瀬戸市 小田妻町
489-0068 愛知県 瀬戸市 上松山町
489-0069 愛知県 瀬戸市 東松山町
489-0071 愛知県 瀬戸市 暁町
489-0072 愛知県 瀬戸市 東印所町
489-0073 愛知県 瀬戸市 泉町
489-0074 愛知県 瀬戸市 宮脇町
489-0075 愛知県 瀬戸市 新道町
489-0076 愛知県 瀬戸市 深川町
489-0077 愛知県 瀬戸市 宮里町
489-0078 愛知県 瀬戸市 湯之根町
489-0079 愛知県 瀬戸市 西印所町
489-0801 愛知県 瀬戸市 汗干町
489-0802 愛知県 瀬戸市 今池町
489-0803 愛知県 瀬戸市 追分町
489-0804 愛知県 瀬戸市 京町
489-0805 愛知県 瀬戸市 陶原町
489-0806 愛知県 瀬戸市 東吉田町
489-0807 愛知県 瀬戸市 西吉田町
489-0808 愛知県 瀬戸市 見付町
489-0809 愛知県 瀬戸市 共栄通
489-0811 愛知県 瀬戸市 山脇町
489-0812 愛知県 瀬戸市 西蔵所町
489-0813 愛知県 瀬戸市 蔵所町
489-0814 愛知県 瀬戸市 末広町
489-0815 愛知県 瀬戸市 南仲之切町
489-0816 愛知県 瀬戸市 東本町
489-0817 愛知県 瀬戸市 銀杏木町
489-0818 愛知県 瀬戸市 幸町
489-0819 愛知県 瀬戸市 西本町
489-0821 愛知県 瀬戸市 薬師町
489-0822 愛知県 瀬戸市 杉塚町
489-0823 愛知県 瀬戸市 東郷町
489-0824 愛知県 瀬戸市 仲郷町
489-0825 愛知県 瀬戸市 祖母懐町
489-0826 愛知県 瀬戸市 蛭子町
489-0827 愛知県 瀬戸市 陶生町
489-0828 愛知県 瀬戸市 前田町
489-0829 愛知県 瀬戸市 西郷町
489-0831 愛知県 瀬戸市 藤四郎町
489-0832 愛知県 瀬戸市 王子沢町
489-0833 愛知県 瀬戸市 仲洞町
489-0834 愛知県 瀬戸市 南東町
489-0835 愛知県 瀬戸市 中山町
489-0836 愛知県 瀬戸市 一里塚町
489-0837 愛知県 瀬戸市 西洞町
489-0838 愛知県 瀬戸市 寺本町
489-0841 愛知県 瀬戸市 東洞町
489-0842 愛知県 瀬戸市 小空町
489-0843 愛知県 瀬戸市 惣作町
489-0844 愛知県 瀬戸市 門前町
489-0845 愛知県 瀬戸市 鐘場町
489-0846 愛知県 瀬戸市 太子町
489-0847 愛知県 瀬戸市 東町
489-0848 愛知県 瀬戸市 西拝戸町
489-0849 愛知県 瀬戸市 新明町
489-0851 愛知県 瀬戸市 西山路町
489-0852 愛知県 瀬戸市 巡間町
489-0853 愛知県 瀬戸市 上山路町
489-0854 愛知県 瀬戸市 東山路町
489-0855 愛知県 瀬戸市 海上町
489-0856 愛知県 瀬戸市 広久手町
489-0857 愛知県 瀬戸市 吉野町
489-0858 愛知県 瀬戸市 屋戸町
489-0859 愛知県 瀬戸市 山路町
489-0861 愛知県 瀬戸市 八幡台
489-0862 愛知県 瀬戸市 八幡町
489-0863 愛知県 瀬戸市 せいれい町
489-0864 愛知県 瀬戸市 若宮町
489-0865 愛知県 瀬戸市 山口町
489-0866 愛知県 瀬戸市 矢形町
489-0867 愛知県 瀬戸市 大坂町
489-0868 愛知県 瀬戸市 今林町
489-0871 愛知県 瀬戸市 東長根町
489-0872 愛知県 瀬戸市 水無瀬町
489-0873 愛知県 瀬戸市 新郷町
489-0874 愛知県 瀬戸市 幡野町
489-0875 愛知県 瀬戸市 緑町
489-0876 愛知県 瀬戸市 白山町
489-0877 愛知県 瀬戸市 東赤重町
489-0878 愛知県 瀬戸市 赤重町
489-0879 愛知県 瀬戸市 瘤木町
489-0881 愛知県 瀬戸市 熊野町
489-0882 愛知県 瀬戸市 西権現町
489-0883 愛知県 瀬戸市 東権現町
489-0884 愛知県 瀬戸市 西茨町
489-0885 愛知県 瀬戸市 萩殿町
489-0886 愛知県 瀬戸市 萩山台
489-0887 愛知県 瀬戸市 菱野台
489-0888 愛知県 瀬戸市 原山台
489-0889 愛知県 瀬戸市 原山町
489-0891 愛知県 瀬戸市 陶栄町
489-0892 愛知県 瀬戸市 上ノ切町
489-0893 愛知県 瀬戸市 春雨町
489-0894 愛知県 瀬戸市 川合町
489-0895 愛知県 瀬戸市 塩草町
489-0896 愛知県 瀬戸市 宝ケ丘町
489-0897 愛知県 瀬戸市 東茨町
489-0898 愛知県 瀬戸市 秋葉町
489-0901 愛知県 瀬戸市 十軒町
489-0902 愛知県 瀬戸市 内田町
489-0903 愛知県 瀬戸市 ゆりの台
489-0904 愛知県 瀬戸市 すみれ台
489-0905 愛知県 瀬戸市 はぎの台
489-0906 愛知県 瀬戸市 本郷町
489-0907 愛知県 瀬戸市 ふじの台
489-0908 愛知県 瀬戸市 ききょう台
489-0909 愛知県 瀬戸市 みずの坂
489-0910 愛知県 瀬戸市 北みずの坂
489-0911 愛知県 瀬戸市 北松山町
489-0912 愛知県 瀬戸市 西松山町
489-0913 愛知県 瀬戸市 水南町
489-0914 愛知県 瀬戸市 孫田町
489-0915 愛知県 瀬戸市 北浦町
489-0916 愛知県 瀬戸市 平町
489-0917 愛知県 瀬戸市 效範町
489-0918 愛知県 瀬戸市 北脇町
489-0919 愛知県 瀬戸市 川端町
489-0921 愛知県 瀬戸市 田端町
489-0922 愛知県 瀬戸市 市場町
489-0923 愛知県 瀬戸市 城屋敷町
489-0924 愛知県 瀬戸市 城ケ根町
489-0925 愛知県 瀬戸市 西寺山町
489-0926 愛知県 瀬戸市 川西町
489-0927 愛知県 瀬戸市 川北町
489-0928 愛知県 瀬戸市 東寺山町
489-0929 愛知県 瀬戸市 西長根町
489-0931 愛知県 瀬戸市 高根町
489-0932 愛知県 瀬戸市 美濃池町
489-0933 愛知県 瀬戸市 神川町
489-0934 愛知県 瀬戸市 菱野町
489-0935 愛知県 瀬戸市 福元町
489-0936 愛知県 瀬戸市 西脇町
489-0937 愛知県 瀬戸市 南菱野町
489-0938 愛知県 瀬戸市 幡西町
489-0941 愛知県 瀬戸市 瀬戸口町
489-0942 愛知県 瀬戸市 東菱野町
489-0943 愛知県 瀬戸市 西米泉町
489-0944 愛知県 瀬戸市 東米泉町
489-0945 愛知県 瀬戸市 弁天町
489-0946 愛知県 瀬戸市 幡中町
489-0947 愛知県 瀬戸市 羽根町
489-0948 愛知県 瀬戸市 幡山町
489-0949 愛知県 瀬戸市 新田町
489-0951 愛知県 瀬戸市 石田町
489-0952 愛知県 瀬戸市 池田町
489-0953 愛知県 瀬戸市 柳ケ坪町
489-0954 愛知県 瀬戸市 台六町
489-0955 愛知県 瀬戸市 南ケ丘町
489-0961 愛知県 瀬戸市 田中町
489-0962 愛知県 瀬戸市 大坪町
489-0963 愛知県 瀬戸市 宮地町
489-0964 愛知県 瀬戸市 上之山町
489-0965 愛知県 瀬戸市 南山口町
489-0966 愛知県 瀬戸市 掛下町
489-0971 愛知県 瀬戸市 西本地町
489-0972 愛知県 瀬戸市 西原町
489-0973 愛知県 瀬戸市 東本地町
489-0974 愛知県 瀬戸市 駒前町
489-0975 愛知県 瀬戸市 山の田町
489-0976 愛知県 瀬戸市 井戸金町
489-0977 愛知県 瀬戸市 坂上町
489-0978 愛知県 瀬戸市 小坂町
489-0979 愛知県 瀬戸市 坊金町
489-0980 愛知県 瀬戸市 やまて坂
489-0981 愛知県 瀬戸市 ひまわり台
489-0982 愛知県 瀬戸市 さつき台
489-0983 愛知県 瀬戸市 苗場町
489-0984 愛知県 瀬戸市 北山町
489-0985 愛知県 瀬戸市 松原町
489-0986 愛知県 瀬戸市 南山町
489-0987 愛知県 瀬戸市 西山町
489-0988 愛知県 瀬戸市 東山町
489-0989 愛知県 瀬戸市 山手町
489-8450 愛知県 瀬戸市 仲切町
489-8510 愛知県 瀬戸市 暁町
489-8511 愛知県 瀬戸市 見付町
489-8520 愛知県 瀬戸市 熊野町
489-8550 愛知県 瀬戸市 暁町
489-8555 愛知県 瀬戸市 南山口町
489-8567 愛知県 瀬戸市 西原町
489-8585 愛知県 瀬戸市 南山口町
489-8610 愛知県 瀬戸市 穴田町
489-8611 愛知県 瀬戸市 暁町
489-8642 愛知県 瀬戸市 西追分町
489-8645 愛知県 瀬戸市 暁町
489-8650 愛知県 瀬戸市 東横山町
489-8680 愛知県 瀬戸市 道泉町
489-8701 愛知県 瀬戸市 追分町
489-8777 愛知県 瀬戸市 西原町
