510-0000 三重県 四日市市 
510-0000 三重県 三重郡朝日町 
510-0000 三重県 三重郡川越町 
515-1106 三重県 松阪市 辻原町
515-1107 三重県 松阪市 阪内町
515-1201 三重県 松阪市 広瀬町
515-1202 三重県 松阪市 茅原町
515-1203 三重県 松阪市 六呂木町
515-1204 三重県 松阪市 小片野町
515-1205 三重県 松阪市 大石町
515-1301 三重県 松阪市 飯南町深野
515-1302 三重県 松阪市 飯南町横野
515-1303 三重県 松阪市 飯南町下仁柿
515-1304 三重県 松阪市 飯南町上仁柿
515-1411 三重県 松阪市 飯南町粥見
515-1412 三重県 松阪市 飯南町向粥見
515-1413 三重県 松阪市 飯南町有間野
515-1501 三重県 松阪市 飯高町下滝野
515-1502 三重県 松阪市 飯高町宮前
515-1503 三重県 松阪市 飯高町野々口
515-1504 三重県 松阪市 飯高町作滝
515-1505 三重県 松阪市 飯高町赤桶
515-1506 三重県 松阪市 飯高町田引
515-1611 三重県 松阪市 飯高町七日市
515-1612 三重県 松阪市 飯高町富永
515-1613 三重県 松阪市 飯高町粟野
515-1614 三重県 松阪市 飯高町宮本
515-1615 三重県 松阪市 飯高町森
515-1616 三重県 松阪市 飯高町青田
515-1617 三重県 松阪市 飯高町猿山
515-1618 三重県 松阪市 飯高町蓮
515-1721 三重県 松阪市 飯高町月出
515-1722 三重県 松阪市 飯高町加波
515-1723 三重県 松阪市 飯高町乙栗子
515-1724 三重県 松阪市 飯高町桑原
515-1725 三重県 松阪市 飯高町波瀬
515-1726 三重県 松阪市 飯高町太良木
515-1727 三重県 松阪市 飯高町草鹿野
515-1731 三重県 松阪市 飯高町舟戸
515-1732 三重県 松阪市 飯高町落方
515-1733 三重県 松阪市 飯高町栃谷
515-1734 三重県 松阪市 飯高町木梶
515-2101 三重県 松阪市 星合町
515-2102 三重県 松阪市 五主町
515-2103 三重県 松阪市 笠松町
515-2104 三重県 松阪市 小舟江町
515-2105 三重県 松阪市 肥留町
515-2106 三重県 松阪市 西肥留町
515-2107 三重県 松阪市 舞出町
515-2108 三重県 松阪市 甚目町
515-2109 三重県 松阪市 小野江町
515-2111 三重県 松阪市 中林町
515-2112 三重県 松阪市 曽原町
515-2113 三重県 松阪市 喜多村新田町
515-2114 三重県 松阪市 小津町
515-2115 三重県 松阪市 中道町
515-2121 三重県 松阪市 市場庄町
515-2122 三重県 松阪市 久米町
515-2123 三重県 松阪市 上ノ庄町
515-2124 三重県 松阪市 中ノ庄町
515-2131 三重県 松阪市 六軒町
515-2132 三重県 松阪市 松崎浦町
515-2133 三重県 松阪市 松ケ島町
515-2301 三重県 松阪市 嬉野島田町
515-2302 三重県 松阪市 嬉野天花寺町
515-2303 三重県 松阪市 嬉野宮古町
515-2304 三重県 松阪市 嬉野平生町
515-2305 三重県 松阪市 嬉野一志町
515-2311 三重県 松阪市 嬉野黒田町
515-2312 三重県 松阪市 嬉野見永町
515-2313 三重県 松阪市 嬉野川原木造町
515-2314 三重県 松阪市 嬉野新屋庄町
515-2315 三重県 松阪市 嬉野小村町
515-2316 三重県 松阪市 嬉野川北町
515-2317 三重県 松阪市 嬉野野田町
515-2321 三重県 松阪市 嬉野中川町
515-2322 三重県 松阪市 嬉野須賀町
515-2323 三重県 松阪市 嬉野権現前町
515-2324 三重県 松阪市 嬉野町
515-2325 三重県 松阪市 嬉野中川新町
515-2331 三重県 松阪市 嬉野須賀領町
515-2332 三重県 松阪市 嬉野津屋城町
515-2333 三重県 松阪市 嬉野田村町
515-2334 三重県 松阪市 嬉野黒野町
515-2335 三重県 松阪市 嬉野算所町
515-2341 三重県 松阪市 小野町
515-2342 三重県 松阪市 大阿坂町
515-2343 三重県 松阪市 小阿坂町
515-2344 三重県 松阪市 美濃田町
515-2351 三重県 松阪市 嬉野井之上町
515-2352 三重県 松阪市 嬉野八田町
515-2353 三重県 松阪市 嬉野堀之内町
515-2354 三重県 松阪市 嬉野下之庄町
515-2355 三重県 松阪市 嬉野薬王寺町
515-2356 三重県 松阪市 嬉野上野町
515-2357 三重県 松阪市 嬉野神ノ木町
515-2401 三重県 松阪市 嬉野釜生田町
515-2402 三重県 松阪市 嬉野森本町
515-2403 三重県 松阪市 嬉野岩倉町
515-2404 三重県 松阪市 嬉野上小川町
515-2405 三重県 松阪市 嬉野小原町
515-2406 三重県 松阪市 嬉野合ケ野町
515-2407 三重県 松阪市 嬉野矢下町
515-2408 三重県 松阪市 嬉野宮野町
515-2409 三重県 松阪市 嬉野滝之川町
515-2411 三重県 松阪市 与原町
515-2412 三重県 松阪市 飯福田町
515-2413 三重県 松阪市 後山町
515-2414 三重県 松阪市 柚原町
515-2501 三重県 津市 一志町庄村
515-2502 三重県 津市 一志町其村
515-2503 三重県 津市 一志町日置
515-2504 三重県 津市 一志町高野
515-2504 三重県 津市 一志町高野
515-2504 三重県 津市 一志町高野
515-2505 三重県 津市 一志町小戸木
515-2511 三重県 津市 一志町片野
515-2512 三重県 津市 一志町新沢田
515-2513 三重県 津市 一志町虹が丘
515-2514 三重県 津市 一志町小山
