090-0000 北海道 北見市 
099-3604 北海道 斜里郡小清水町 水上
099-3605 北海道 斜里郡小清水町 もこと山
099-3611 北海道 斜里郡小清水町 上徳
099-3612 北海道 斜里郡小清水町 共和
099-3613 北海道 斜里郡小清水町 神浦
099-3614 北海道 斜里郡小清水町 美和
099-3615 北海道 斜里郡小清水町 中里
099-3616 北海道 斜里郡小清水町 旭
099-3621 北海道 斜里郡小清水町 小清水
099-3622 北海道 斜里郡小清水町 小清水
099-3623 北海道 斜里郡小清水町 小清水
099-3624 北海道 斜里郡小清水町 小清水
099-3625 北海道 斜里郡小清水町 小清水
099-3626 北海道 斜里郡小清水町 小清水
099-3627 北海道 斜里郡小清水町 小清水
099-3628 北海道 斜里郡小清水町 小清水
099-3631 北海道 斜里郡小清水町 小清水
099-3632 北海道 斜里郡小清水町 小清水
099-3633 北海道 斜里郡小清水町 小清水
099-3634 北海道 斜里郡小清水町 小清水
099-3635 北海道 斜里郡小清水町 小清水
099-3636 北海道 斜里郡小清水町 小清水
099-3637 北海道 斜里郡小清水町 小清水
099-3697 北海道 斜里郡小清水町 小清水
099-3698 北海道 斜里郡小清水町 小清水
099-4100 北海道 斜里郡斜里町 
099-4111 北海道 斜里郡斜里町 前浜町
099-4112 北海道 斜里郡斜里町 港町
099-4113 北海道 斜里郡斜里町 本町
099-4114 北海道 斜里郡斜里町 朝日町
099-4115 北海道 斜里郡斜里町 光陽町
099-4116 北海道 斜里郡斜里町 文光町
099-4117 北海道 斜里郡斜里町 青葉町
099-4118 北海道 斜里郡斜里町 新光町
099-4121 北海道 斜里郡斜里町 日の出
099-4122 北海道 斜里郡斜里町 峰浜
099-4123 北海道 斜里郡斜里町 朱円東
099-4124 北海道 斜里郡斜里町 朱円
099-4125 北海道 斜里郡斜里町 朱円西
099-4126 北海道 斜里郡斜里町 以久科北
099-4127 北海道 斜里郡斜里町 以久科南
099-4131 北海道 斜里郡斜里町 越川
099-4132 北海道 斜里郡斜里町 富士
099-4133 北海道 斜里郡斜里町 三井
099-4134 北海道 斜里郡斜里町 豊里
099-4135 北海道 斜里郡斜里町 来運
099-4141 北海道 斜里郡斜里町 豊倉
099-4142 北海道 斜里郡斜里町 中斜里
099-4143 北海道 斜里郡斜里町 川上
099-4144 北海道 斜里郡斜里町 大栄
099-4145 北海道 斜里郡斜里町 美咲
099-4146 北海道 斜里郡斜里町 港西町
099-4147 北海道 斜里郡斜里町 西町
099-4192 北海道 斜里郡斜里町 本町
099-4195 北海道 斜里郡斜里町 本町
099-4196 北海道 斜里郡斜里町 川上
099-4351 北海道 斜里郡斜里町 ウトロ香川
099-4352 北海道 斜里郡斜里町 ウトロ高原
099-4353 北海道 斜里郡斜里町 ウトロ中島
099-4354 北海道 斜里郡斜里町 ウトロ西
099-4355 北海道 斜里郡斜里町 ウトロ東
099-4356 北海道 斜里郡斜里町 岩尾別
099-4357 北海道 斜里郡斜里町 真鯉
099-4400 北海道 斜里郡清里町 
099-4401 北海道 斜里郡清里町 上斜里
099-4402 北海道 斜里郡清里町 下江鳶
099-4403 北海道 斜里郡清里町 向陽
099-4404 北海道 斜里郡清里町 江南
099-4405 北海道 斜里郡清里町 羽衣町
099-4406 北海道 斜里郡清里町 水元町
099-4407 北海道 斜里郡清里町 新町
099-4492 北海道 斜里郡清里町 羽衣町
099-4521 北海道 斜里郡清里町 札弦町
099-4522 北海道 斜里郡清里町 神威
099-4523 北海道 斜里郡清里町 川向
099-4524 北海道 斜里郡清里町 青葉
099-4525 北海道 斜里郡清里町 緑町
099-4526 北海道 斜里郡清里町 清泉
099-5171 北海道 紋別市 渚滑町
099-5172 北海道 紋別市 渚滑町元新
099-5173 北海道 紋別市 渚滑町元西
099-5174 北海道 紋別市 渚滑町宇津々
099-5175 北海道 紋別市 渚滑町川向
099-5351 北海道 紋別市 上渚滑町下渚滑
099-5352 北海道 紋別市 上渚滑町中渚滑
099-5353 北海道 紋別市 上渚滑町上東
099-5354 北海道 紋別市 上渚滑町
099-5355 北海道 紋別市 上渚滑町更生
099-5361 北海道 紋別市 上渚滑町和訓辺
099-5362 北海道 紋別市 上渚滑町奥東
099-5363 北海道 紋別市 上渚滑町下立牛
099-5364 北海道 紋別市 上渚滑町上古丹
099-5365 北海道 紋別市 上渚滑町中立牛
099-5541 北海道 紋別郡滝上町 濁川中央
099-5542 北海道 紋別郡滝上町 濁川みどり町
099-5543 北海道 紋別郡滝上町 新町
099-5544 北海道 紋別郡滝上町 雄鎮内
099-5551 北海道 紋別郡滝上町 大正
099-5552 北海道 紋別郡滝上町 滝下
099-5553 北海道 紋別郡滝上町 雄柏
099-5600 北海道 紋別郡滝上町 
099-5601 北海道 紋別郡滝上町 あけぼの町
099-5602 北海道 紋別郡滝上町 旭町
099-5603 北海道 紋別郡滝上町 滝美町
099-5604 北海道 紋別郡滝上町 元町
099-5605 北海道 紋別郡滝上町 栄町
099-5606 北海道 紋別郡滝上町 幸町
099-5611 北海道 紋別郡滝上町 第１区
099-5612 北海道 紋別郡滝上町 白鳥
099-5612 北海道 紋別郡滝上町 第２区
099-5613 北海道 紋別郡滝上町 第３区
099-5613 北海道 紋別郡滝上町 第４区
099-5613 北海道 紋別郡滝上町 第５区
099-5613 北海道 紋別郡滝上町 滝西
099-5614 北海道 紋別郡滝上町 札久留
099-5692 北海道 紋別郡滝上町 旭町
099-6131 北海道 紋別市 一本松
099-6131 北海道 紋別市 八十士
099-6132 北海道 紋別市 小向
099-6133 北海道 紋別市 弘道
099-6241 北海道 紋別市 沼の上
099-6242 北海道 紋別市 志文
099-6271 北海道 紋別郡湧別町 信部内
099-6272 北海道 紋別郡湧別町 緑蔭
099-6321 北海道 紋別郡湧別町 旭
099-6322 北海道 紋別郡湧別町 北兵村三区
099-6323 北海道 紋別郡湧別町 北兵村二区
099-6325 北海道 紋別郡湧別町 北兵村一区
099-6326 北海道 紋別郡湧別町 中湧別北町
099-6327 北海道 紋別郡湧別町 中湧別東町
099-6328 北海道 紋別郡湧別町 中湧別南町
099-6329 北海道 紋別郡湧別町 中湧別中町
099-6400 北海道 紋別郡湧別町 
099-6401 北海道 紋別郡湧別町 港町
099-6402 北海道 紋別郡湧別町 曙町
099-6403 北海道 紋別郡湧別町 緑町
099-6404 北海道 紋別郡湧別町 栄町
099-6411 北海道 紋別郡湧別町 東
099-6412 北海道 紋別郡湧別町 登栄床
099-6413 北海道 紋別郡湧別町 福島
099-6414 北海道 紋別郡湧別町 錦町
099-6415 北海道 紋別郡湧別町 川西
099-6501 北海道 紋別郡湧別町 上湧別屯田市街地
099-6503 北海道 紋別郡湧別町 開盛
099-6504 北海道 紋別郡湧別町 上富美
099-6505 北海道 紋別郡湧別町 富美
099-6506 北海道 紋別郡湧別町 札富美
099-6507 北海道 紋別郡湧別町 南兵村三区
099-6508 北海道 紋別郡湧別町 南兵村二区
099-6509 北海道 紋別郡湧別町 南兵村一区
099-6592 北海道 紋別郡湧別町 上湧別屯田市街地
