080-0000 北海道 帯広市 
088-1119 北海道 厚岸郡厚岸町 住の江
088-1120 北海道 厚岸郡厚岸町 山の手
088-1124 北海道 厚岸郡厚岸町 宮園
088-1125 北海道 厚岸郡厚岸町 白浜
088-1126 北海道 厚岸郡厚岸町 門静
088-1128 北海道 厚岸郡厚岸町 港町
088-1129 北海道 厚岸郡厚岸町 光栄
088-1130 北海道 厚岸郡厚岸町 太田南
088-1131 北海道 厚岸郡厚岸町 太田
088-1132 北海道 厚岸郡厚岸町 太田東
088-1133 北海道 厚岸郡厚岸町 太田宏陽
088-1134 北海道 厚岸郡厚岸町 太田西
088-1135 北海道 厚岸郡厚岸町 太田北
088-1136 北海道 厚岸郡厚岸町 大別
088-1137 北海道 厚岸郡厚岸町 片無去
088-1138 北海道 厚岸郡厚岸町 セタニウシ
088-1139 北海道 厚岸郡厚岸町 サッテベツ
088-1140 北海道 厚岸郡厚岸町 サンヌシ
088-1141 北海道 厚岸郡厚岸町 太田１の通り
088-1142 北海道 厚岸郡厚岸町 太田２の通り
088-1143 北海道 厚岸郡厚岸町 太田３の通り
088-1144 北海道 厚岸郡厚岸町 太田４の通り
088-1145 北海道 厚岸郡厚岸町 太田５の通り
088-1146 北海道 厚岸郡厚岸町 太田６の通り
088-1147 北海道 厚岸郡厚岸町 太田７の通り
088-1148 北海道 厚岸郡厚岸町 太田８の通り
088-1149 北海道 厚岸郡厚岸町 太田９の通り
088-1151 北海道 厚岸郡厚岸町 真栄
088-1192 北海道 厚岸郡厚岸町 真栄
088-1193 北海道 厚岸郡厚岸町 真栄
088-1194 北海道 厚岸郡厚岸町 宮園
088-1195 北海道 厚岸郡厚岸町 住の江
088-1196 北海道 厚岸郡厚岸町 宮園
088-1301 北海道 厚岸郡浜中町 一番沢
088-1302 北海道 厚岸郡浜中町 二番沢
088-1303 北海道 厚岸郡浜中町 三番沢
088-1304 北海道 厚岸郡浜中町 四番沢
088-1306 北海道 厚岸郡浜中町 六番沢
088-1360 北海道 厚岸郡浜中町 散布村
088-1361 北海道 厚岸郡浜中町 茶内緑
088-1362 北海道 厚岸郡浜中町 茶内本町
088-1363 北海道 厚岸郡浜中町 茶内栄
088-1364 北海道 厚岸郡浜中町 茶内若葉
088-1365 北海道 厚岸郡浜中町 茶内橋北東
088-1366 北海道 厚岸郡浜中町 茶内橋北西
088-1367 北海道 厚岸郡浜中町 茶内旭
088-1368 北海道 厚岸郡浜中町 茶内基線
088-1368 北海道 厚岸郡浜中町 茶内東１線
088-1368 北海道 厚岸郡浜中町 茶内東２線
088-1369 北海道 厚岸郡浜中町 茶内西
088-1370 北海道 厚岸郡浜中町 西円朱別西
088-1371 北海道 厚岸郡浜中町 円朱別西
088-1389 北海道 厚岸郡厚岸町 トライベツ
088-1401 北海道 厚岸郡浜中町 榊町
088-1402 北海道 厚岸郡浜中町 後静
088-1402 北海道 厚岸郡浜中町 横浜
088-1403 北海道 厚岸郡浜中町 アザラップ
088-1403 北海道 厚岸郡浜中町 幌戸
088-1404 北海道 厚岸郡浜中町 ムギカラシナイ
088-1405 北海道 厚岸郡浜中町 奔幌戸
088-1406 北海道 厚岸郡浜中町 赤泊
088-1406 北海道 厚岸郡浜中町 羨古丹
088-1407 北海道 厚岸郡浜中町 榊町西
088-1408 北海道 厚岸郡浜中町 大津屋沢
088-1409 北海道 厚岸郡浜中町 走古潭
088-1412 北海道 厚岸郡浜中町 後静村
088-1485 北海道 厚岸郡浜中町 浜中
088-1486 北海道 厚岸郡浜中町 熊牛
088-1487 北海道 厚岸郡浜中町 茶内東３線
088-1487 北海道 厚岸郡浜中町 茶内東４線
088-1487 北海道 厚岸郡浜中町 茶内東５線
088-1487 北海道 厚岸郡浜中町 茶内東６線
088-1500 北海道 厚岸郡浜中町 
088-1511 北海道 厚岸郡浜中町 霧多布東一条
088-1512 北海道 厚岸郡浜中町 霧多布東二条
088-1513 北海道 厚岸郡浜中町 霧多布東三条
088-1514 北海道 厚岸郡浜中町 霧多布東四条
088-1522 北海道 厚岸郡浜中町 湯沸
088-1524 北海道 厚岸郡浜中町 暮帰別東
088-1525 北海道 厚岸郡浜中町 暮帰別西
088-1526 北海道 厚岸郡浜中町 新川
088-1527 北海道 厚岸郡浜中町 新川東
088-1528 北海道 厚岸郡浜中町 新川西
088-1531 北海道 厚岸郡浜中町 仲の浜
088-1532 北海道 厚岸郡浜中町 琵琶瀬
088-1534 北海道 厚岸郡浜中町 渡散布
088-1535 北海道 厚岸郡浜中町 養老散布
088-1536 北海道 厚岸郡浜中町 火散布
088-1537 北海道 厚岸郡浜中町 丸山散布
088-1538 北海道 厚岸郡浜中町 藻散布
088-1551 北海道 厚岸郡浜中町 霧多布西一条
088-1552 北海道 厚岸郡浜中町 霧多布西二条
088-1553 北海道 厚岸郡浜中町 霧多布西三条
088-1554 北海道 厚岸郡浜中町 霧多布西四条
088-1561 北海道 厚岸郡浜中町 霧多布湿原
088-1571 北海道 厚岸郡浜中町 道有林
088-1592 北海道 厚岸郡浜中町 霧多布東四条
088-1643 北海道 厚岸郡浜中町 貰人
088-1644 北海道 厚岸郡浜中町 恵茶人
088-1645 北海道 厚岸郡浜中町 仙鳳趾
088-1646 北海道 厚岸郡浜中町 姉別
088-1647 北海道 厚岸郡浜中町 姉別南
088-1648 北海道 厚岸郡浜中町 姉別北
088-1649 北海道 厚岸郡浜中町 姉別緑栄
088-1781 北海道 根室市 落石西
088-1782 北海道 根室市 落石東
088-1783 北海道 根室市 浜松
088-1784 北海道 根室市 昆布盛
088-1785 北海道 根室市 長節
088-2140 北海道 釧路郡釧路町 細岡
088-2141 北海道 釧路郡釧路町 達古武
088-2142 北海道 釧路郡釧路町 遠野
088-2143 北海道 釧路郡釧路町 河畔
088-2144 北海道 釧路郡釧路町 鳥里
088-2145 北海道 釧路郡釧路町 遠矢
088-2146 北海道 釧路郡釧路町 鳥通西
088-2147 北海道 釧路郡釧路町 鳥通東
088-2148 北海道 釧路郡釧路町 鳥通
088-2151 北海道 釧路郡釧路町 よし野
088-2152 北海道 釧路郡釧路町 南陽台
088-2153 北海道 釧路郡釧路町 緑
088-2154 北海道 釧路郡釧路町 柏東
088-2155 北海道 釧路郡釧路町 柏西
088-2156 北海道 釧路郡釧路町 遠矢南
088-2157 北海道 釧路郡釧路町 わらび
088-2261 北海道 川上郡標茶町 塘路
088-2262 北海道 川上郡標茶町 ウライヤ
088-2263 北海道 川上郡標茶町 沼ノ上
088-2264 北海道 川上郡標茶町 塘路原野
088-2265 北海道 川上郡標茶町 シラルトロ
088-2265 北海道 川上郡標茶町 塘路
088-2266 北海道 川上郡標茶町 茅沼
088-2266 北海道 川上郡標茶町 コツタロ原野
088-2271 北海道 川上郡標茶町 阿歴内
088-2272 北海道 川上郡標茶町 阿歴内原野
088-2273 北海道 川上郡標茶町 西和
088-2274 北海道 川上郡標茶町 東阿歴内
088-2275 北海道 川上郡標茶町 北片無去
088-2300 北海道 川上郡標茶町 
088-2301 北海道 川上郡標茶町 旭
088-2302 北海道 川上郡標茶町 富士
088-2303 北海道 川上郡標茶町 桜
088-2304 北海道 川上郡標茶町 平和
088-2305 北海道 川上郡標茶町 麻生
088-2311 北海道 川上郡標茶町 開運
088-2312 北海道 川上郡標茶町 川上
088-2313 北海道 川上郡標茶町 常盤
088-2314 北海道 川上郡標茶町 標茶
088-2321 北海道 川上郡標茶町 上チャンベツ
088-2322 北海道 川上郡標茶町 中チャンベツ
088-2323 北海道 川上郡標茶町 下チャンベツ
088-2324 北海道 川上郡標茶町 雷別
088-2331 北海道 川上郡標茶町 オソツベツ
088-2331 北海道 川上郡標茶町 下オソツベツ
088-2332 北海道 川上郡標茶町 中オソツベツ
088-2333 北海道 川上郡標茶町 上オソツベツ
088-2334 北海道 川上郡標茶町 厚生
088-2335 北海道 川上郡標茶町 五十石
088-2336 北海道 川上郡標茶町 ルルラン
088-2337 北海道 川上郡標茶町 北標茶
088-2337 北海道 川上郡標茶町 栄
088-2338 北海道 川上郡標茶町 南標茶
088-2339 北海道 川上郡標茶町 上多和
088-2339 北海道 川上郡標茶町 多和
088-2461 北海道 川上郡標茶町 虹別市街
088-2462 北海道 川上郡標茶町 虹別
088-2463 北海道 川上郡標茶町 虹別
088-2464 北海道 川上郡標茶町 虹別
088-2465 北海道 川上郡標茶町 虹別
088-2561 北海道 野付郡別海町 西春別駅前柏町
088-2562 北海道 野付郡別海町 西春別駅前栄町
088-2563 北海道 野付郡別海町 西春別駅前錦町
088-2564 北海道 野付郡別海町 西春別駅前西町
088-2565 北海道 野付郡別海町 西春別駅前寿町
088-2566 北海道 野付郡別海町 西春別駅前曙町
088-2571 北海道 野付郡別海町 西春別幸町
088-2572 北海道 野付郡別海町 西春別清川町
088-2573 北海道 野付郡別海町 西春別本久町
088-2574 北海道 野付郡別海町 西春別昭栄町
088-2575 北海道 野付郡別海町 西春別宮園町
088-2576 北海道 野付郡別海町 西春別
088-2577 北海道 野付郡別海町 矢臼別
088-2578 北海道 野付郡別海町 泉川
088-2592 北海道 野付郡別海町 西春別駅前寿町
088-2593 北海道 野付郡別海町 西春別
088-2601 北海道 野付郡別海町 大成
088-2602 北海道 野付郡別海町 本別
088-2681 北海道 標津郡中標津町 当幌
088-2682 北海道 標津郡中標津町 計根別
088-2683 北海道 標津郡中標津町 上標津
088-2684 北海道 標津郡中標津町 養老牛
088-2685 北海道 標津郡中標津町 西竹
088-2686 北海道 標津郡中標津町 俣落
088-2721 北海道 野付郡別海町 上春別緑町
088-2722 北海道 野付郡別海町 上春別旭町
088-2723 北海道 野付郡別海町 上春別南町
088-2724 北海道 野付郡別海町 上春別栄町
088-2725 北海道 野付郡別海町 上春別
088-3141 北海道 川上郡標茶町 多和
088-3142 北海道 川上郡標茶町 上磯分内
088-3143 北海道 川上郡標茶町 磯分内美幌
088-3144 北海道 川上郡標茶町 中多和
088-3145 北海道 川上郡標茶町 熊牛原野
088-3146 北海道 川上郡標茶町 磯分内下
088-3147 北海道 川上郡標茶町 磯分内市街
088-3148 北海道 川上郡標茶町 磯分内福島
088-3149 北海道 川上郡標茶町 磯分内乙西
088-3151 北海道 川上郡標茶町 磯分内上
088-3152 北海道 川上郡標茶町 磯分内協盛
088-3153 北海道 川上郡標茶町 磯分内小林
088-3154 北海道 川上郡標茶町 栄
088-3155 北海道 川上郡標茶町 磯分内平泉
088-3156 北海道 川上郡標茶町 磯分内平和
088-3157 北海道 川上郡標茶町 磯分内憩
088-3200 北海道 川上郡弟子屈町 
088-3201 北海道 川上郡弟子屈町 摩周
088-3202 北海道 川上郡弟子屈町 鈴蘭
088-3203 北海道 川上郡弟子屈町 湯の島
088-3204 北海道 川上郡弟子屈町 朝日
088-3211 北海道 川上郡弟子屈町 中央
088-3212 北海道 川上郡弟子屈町 泉
088-3213 北海道 川上郡弟子屈町 桜丘
088-3214 北海道 川上郡弟子屈町 高栄
088-3215 北海道 川上郡弟子屈町 美里
088-3221 北海道 川上郡弟子屈町 鐺別
088-3221 北海道 川上郡弟子屈町 鐺別原野
088-3222 北海道 川上郡弟子屈町 弟子屈原野
088-3223 北海道 川上郡弟子屈町 仁多
088-3224 北海道 川上郡弟子屈町 平和
088-3225 北海道 川上郡弟子屈町 最栄利別
088-3226 北海道 川上郡弟子屈町 奥オソベツ
088-3227 北海道 川上郡弟子屈町 重内
088-3228 北海道 川上郡弟子屈町 奥春別
088-3271 北海道 川上郡弟子屈町 南弟子屈
088-3292 北海道 川上郡弟子屈町 中央
088-3331 北海道 川上郡弟子屈町 美留和
088-3331 北海道 川上郡弟子屈町 美留和原野
088-3332 北海道 川上郡弟子屈町 札友内
088-3332 北海道 川上郡弟子屈町 札友内原野
088-3341 北海道 川上郡弟子屈町 屈斜路
088-3341 北海道 川上郡弟子屈町 屈斜路原野
088-3351 北海道 川上郡弟子屈町 池の湯
088-3351 北海道 川上郡弟子屈町 屈斜路市街地
088-3351 北海道 川上郡弟子屈町 古丹
088-3351 北海道 川上郡弟子屈町 砂湯
088-3395 北海道 川上郡弟子屈町 屈斜路
088-3461 北海道 川上郡弟子屈町 跡佐登
088-3461 北海道 川上郡弟子屈町 跡佐登原野
088-3462 北海道 川上郡弟子屈町 川湯駅前
088-3463 北海道 川上郡弟子屈町 アトサヌプリ原野
088-3464 北海道 川上郡弟子屈町 サワンチサップ
088-3465 北海道 川上郡弟子屈町 川湯温泉
089-0100 北海道 上川郡清水町 
089-0101 北海道 上川郡清水町 人舞
089-0102 北海道 上川郡清水町 下佐幌
089-0103 北海道 上川郡清水町 清水
089-0104 北海道 上川郡清水町 南三条西
089-0105 北海道 上川郡清水町 南四条西
089-0106 北海道 上川郡清水町 南五条西
089-0107 北海道 上川郡清水町 南六条西
089-0111 北海道 上川郡清水町 南三条
089-0112 北海道 上川郡清水町 南四条
089-0113 北海道 上川郡清水町 南五条
089-0114 北海道 上川郡清水町 南六条
089-0115 北海道 上川郡清水町 南七条
089-0116 北海道 上川郡清水町 南八条
089-0117 北海道 上川郡清水町 南九条
089-0118 北海道 上川郡清水町 南十条
089-0121 北海道 上川郡清水町 北四条西
089-0122 北海道 上川郡清水町 北三条西
089-0123 北海道 上川郡清水町 北二条西
089-0124 北海道 上川郡清水町 北一条西
089-0125 北海道 上川郡清水町 本通西
089-0126 北海道 上川郡清水町 南一条西
089-0127 北海道 上川郡清水町 南二条西
089-0131 北海道 上川郡清水町 北五条
089-0132 北海道 上川郡清水町 北四条
089-0133 北海道 上川郡清水町 北三条
089-0134 北海道 上川郡清水町 北二条
089-0135 北海道 上川郡清水町 北一条
089-0136 北海道 上川郡清水町 本通
089-0137 北海道 上川郡清水町 南一条
089-0138 北海道 上川郡清水町 南二条
089-0192 北海道 上川郡清水町 南四条
089-0195 北海道 上川郡清水町 南二条
089-0198 北海道 上川郡清水町 南二条
089-0241 北海道 上川郡清水町 熊牛
089-0242 北海道 上川郡清水町 美蔓
089-0243 北海道 上川郡清水町 上然別
089-0351 北海道 上川郡清水町 御影西一条
089-0352 北海道 上川郡清水町 御影西二条
089-0353 北海道 上川郡清水町 御影西三条
089-0354 北海道 上川郡清水町 御影本通
089-0355 北海道 上川郡清水町 旭山
089-0356 北海道 上川郡清水町 羽帯
089-0357 北海道 上川郡清水町 御影
089-0361 北海道 上川郡清水町 御影東一条南
089-0362 北海道 上川郡清水町 御影東二条南
089-0363 北海道 上川郡清水町 御影東三条南
089-0371 北海道 上川郡清水町 御影東一条
089-0372 北海道 上川郡清水町 御影東二条
089-0373 北海道 上川郡清水町 御影東三条
089-0374 北海道 上川郡清水町 御影東四条
089-0375 北海道 上川郡清水町 御影東五条
089-0376 北海道 上川郡清水町 御影東六条
089-0377 北海道 上川郡清水町 御影東七条
089-0378 北海道 上川郡清水町 御影東八条
089-0531 北海道 中川郡幕別町 札内暁町
089-0532 北海道 中川郡幕別町 札内豊町
089-0533 北海道 中川郡幕別町 札内新北町
089-0534 北海道 中川郡幕別町 札内北町
089-0535 北海道 中川郡幕別町 札内桜町
089-0536 北海道 中川郡幕別町 札内西町
089-0537 北海道 中川郡幕別町 札内北栄町
089-0538 北海道 中川郡幕別町 札内共栄町
089-0541 北海道 中川郡幕別町 札内青葉町
089-0542 北海道 中川郡幕別町 札内春日町
089-0543 北海道 中川郡幕別町 札内中央町
089-0544 北海道 中川郡幕別町 札内若草町
089-0545 北海道 中川郡幕別町 札内桂町
089-0546 北海道 中川郡幕別町 札内堤町
089-0551 北海道 中川郡幕別町 札内泉町
089-0552 北海道 中川郡幕別町 札内あかしや町
089-0553 北海道 中川郡幕別町 札内文京町
089-0554 北海道 中川郡幕別町 札内みずほ町
089-0561 北海道 中川郡幕別町 札内稔町
089-0562 北海道 中川郡幕別町 札内東町
089-0563 北海道 中川郡幕別町 千住
089-0564 北海道 中川郡幕別町 稲志別
089-0565 北海道 中川郡幕別町 新生
089-0566 北海道 中川郡幕別町 昭和
089-0567 北海道 中川郡幕別町 明倫
089-0571 北海道 中川郡幕別町 依田
089-0572 北海道 中川郡幕別町 西和
089-0573 北海道 中川郡幕別町 途別
089-0574 北海道 中川郡幕別町 日新
089-0575 北海道 中川郡幕別町 上稲志別
089-0576 北海道 中川郡幕別町 古舞
089-0577 北海道 中川郡幕別町 栄
089-0578 北海道 中川郡幕別町 中稲志別
089-0592 北海道 中川郡幕別町 札内中央町
089-0595 北海道 中川郡幕別町 日新
089-0598 北海道 中川郡幕別町 札内中央町
089-0600 北海道 中川郡幕別町 
089-0601 北海道 中川郡幕別町 幸町
089-0602 北海道 中川郡幕別町 旭町
089-0603 北海道 中川郡幕別町 本町
089-0604 北海道 中川郡幕別町 錦町
089-0605 北海道 中川郡幕別町 寿町
089-0611 北海道 中川郡幕別町 新町
089-0612 北海道 中川郡幕別町 明野
089-0613 北海道 中川郡幕別町 新川
089-0614 北海道 中川郡幕別町 緑町
089-0615 北海道 中川郡幕別町 南町
089-0616 北海道 中川郡幕別町 宝町
089-0621 北海道 中川郡幕別町 相川
089-0622 北海道 中川郡幕別町 大豊
089-0623 北海道 中川郡幕別町 南勢
089-0624 北海道 中川郡幕別町 軍岡
089-0625 北海道 中川郡幕別町 猿別
089-0626 北海道 中川郡幕別町 西猿別
089-0627 北海道 中川郡幕別町 新和
089-0628 北海道 中川郡幕別町 豊岡
089-0692 北海道 中川郡幕別町 本町
089-0693 北海道 中川郡幕別町 本町
089-0781 北海道 中川郡幕別町 五位
089-0782 北海道 中川郡幕別町 中里
089-0783 北海道 中川郡幕別町 駒畠
089-0784 北海道 中川郡幕別町 弘和
089-0785 北海道 中川郡幕別町 美川
089-0786 北海道 中川郡幕別町 糠内
089-0787 北海道 中川郡幕別町 明倫
089-0788 北海道 中川郡幕別町 新和
089-1181 北海道 帯広市 愛国町
089-1182 北海道 帯広市 川西町
089-1183 北海道 帯広市 豊西町
089-1184 北海道 帯広市 別府町
089-1192 北海道 帯広市 別府町
089-1198 北海道 帯広市 川西町
089-1241 北海道 帯広市 大正本町
089-1242 北海道 帯広市 大正町
089-1243 北海道 帯広市 桜木町
089-1244 北海道 帯広市 以平町
089-1245 北海道 帯広市 泉町
089-1246 北海道 帯広市 幸福町
089-1247 北海道 帯広市 昭和町
089-1251 北海道 帯広市 富士町
089-1252 北海道 帯広市 中島町
089-1300 北海道 河西郡中札内村 
089-1310 北海道 河西郡中札内村 大通北
089-1311 北海道 河西郡中札内村 西一条北
089-1312 北海道 河西郡中札内村 西二条北
089-1313 北海道 河西郡中札内村 中札内西
089-1321 北海道 河西郡中札内村 東一条北
089-1322 北海道 河西郡中札内村 東二条北
089-1323 北海道 河西郡中札内村 東三条北
089-1324 北海道 河西郡中札内村 東四条北
089-1325 北海道 河西郡中札内村 中札内基線
089-1330 北海道 河西郡中札内村 大通南
089-1331 北海道 河西郡中札内村 西一条南
089-1332 北海道 河西郡中札内村 西二条南
089-1341 北海道 河西郡中札内村 東一条南
089-1342 北海道 河西郡中札内村 東二条南
089-1343 北海道 河西郡中札内村 東三条南
089-1344 北海道 河西郡中札内村 東四条南
089-1345 北海道 河西郡中札内村 東五条南
089-1351 北海道 河西郡中札内村 東戸蔦
089-1352 北海道 河西郡中札内村 中戸蔦
089-1353 北海道 河西郡中札内村 西戸蔦
089-1354 北海道 河西郡中札内村 新札内
089-1355 北海道 河西郡中札内村 新札内南
089-1356 北海道 河西郡中札内村 西札内
089-1361 北海道 河西郡中札内村 元大正
089-1362 北海道 河西郡中札内村 新生
089-1363 北海道 河西郡中札内村 興和
089-1364 北海道 河西郡中札内村 共栄
089-1365 北海道 河西郡中札内村 協和
089-1366 北海道 河西郡中札内村 栄
089-1367 北海道 河西郡中札内村 常盤基線
089-1368 北海道 河西郡中札内村 南常盤
089-1371 北海道 河西郡中札内村 上札内
089-1372 北海道 河西郡中札内村 元札内
089-1373 北海道 河西郡中札内村 元更別
089-1374 北海道 河西郡中札内村 南札内
089-1392 北海道 河西郡中札内村 大通南
089-1395 北海道 河西郡中札内村 東一条南
089-1500 北海道 河西郡更別村 
089-1501 北海道 河西郡更別村 新栄町
089-1502 北海道 河西郡更別村 花園町
089-1511 北海道 河西郡更別村 柏町
089-1512 北海道 河西郡更別村 中央町
089-1513 北海道 河西郡更別村 本町
089-1521 北海道 河西郡更別村 錦町
089-1522 北海道 河西郡更別村 若葉町
089-1531 北海道 河西郡更別村 曙町
089-1532 北海道 河西郡更別村 緑町
089-1541 北海道 河西郡更別村 更南
089-1542 北海道 河西郡更別村 更別
089-1543 北海道 河西郡更別村 昭和区
089-1551 北海道 河西郡更別村 旭区
089-1552 北海道 河西郡更別村 勢雄
089-1553 北海道 河西郡更別村 平和区
089-1561 北海道 河西郡更別村 北更別区
089-1562 北海道 河西郡更別村 更別
089-1563 北海道 河西郡更別村 南更別区
089-1571 北海道 河西郡更別村 香川区
089-1572 北海道 河西郡更別村 更生区
089-1573 北海道 河西郡更別村 弘和
089-1573 北海道 河西郡更別村 東栄
089-1581 北海道 河西郡更別村 上更別
089-1582 北海道 河西郡更別村 協和区
089-1583 北海道 河西郡更別村 上更別
089-1592 北海道 河西郡更別村 錦町
089-1595 北海道 河西郡更別村 柏町
089-1701 北海道 中川郡幕別町 忠類白銀町
089-1703 北海道 中川郡幕別町 忠類栄町
089-1705 北海道 中川郡幕別町 忠類本町
089-1707 北海道 中川郡幕別町 忠類錦町
089-1709 北海道 中川郡幕別町 忠類幸町
089-1711 北海道 中川郡幕別町 忠類東宝
089-1714 北海道 中川郡幕別町 忠類新生
089-1715 北海道 中川郡幕別町 忠類幌内
089-1716 北海道 中川郡幕別町 忠類元忠類
089-1717 北海道 中川郡幕別町 忠類朝日
089-1721 北海道 中川郡幕別町 忠類西当
089-1724 北海道 中川郡幕別町 忠類明和
089-1725 北海道 中川郡幕別町 忠類中当
089-1726 北海道 中川郡幕別町 忠類古里
089-1727 北海道 中川郡幕別町 忠類共栄
089-1728 北海道 中川郡幕別町 忠類協徳
089-1729 北海道 中川郡幕別町 忠類日和
089-1731 北海道 中川郡幕別町 忠類公親
089-1795 北海道 中川郡幕別町 忠類錦町
089-1871 北海道 中川郡幕別町 忠類晩成
089-1881 北海道 広尾郡大樹町 生花
089-1882 北海道 広尾郡大樹町 晩成
089-2100 北海道 広尾郡大樹町 
089-2101 北海道 広尾郡大樹町 東和
089-2102 北海道 広尾郡大樹町 大和
089-2103 北海道 広尾郡大樹町 上大樹
089-2104 北海道 広尾郡大樹町 中大樹
089-2105 北海道 広尾郡大樹町 大樹
089-2106 北海道 広尾郡大樹町 下大樹
089-2107 北海道 広尾郡大樹町 松山
089-2111 北海道 広尾郡大樹町 上萠和
089-2112 北海道 広尾郡大樹町 萠和
089-2113 北海道 広尾郡大樹町 芽武
089-2114 北海道 広尾郡大樹町 下芽武
089-2115 北海道 広尾郡大樹町 美成
089-2116 北海道 広尾郡大樹町 浜大樹
089-2117 北海道 広尾郡大樹町 更生
089-2121 北海道 広尾郡大樹町 旭浜
089-2122 北海道 広尾郡大樹町 中島
089-2123 北海道 広尾郡大樹町 上中島
089-2124 北海道 広尾郡大樹町 日方
089-2125 北海道 広尾郡大樹町 石坂
089-2126 北海道 広尾郡大樹町 開進
089-2127 北海道 広尾郡大樹町 振別
089-2131 北海道 広尾郡大樹町 松山町
089-2132 北海道 広尾郡大樹町 双葉町
089-2133 北海道 広尾郡大樹町 仲通
089-2134 北海道 広尾郡大樹町 東本通
089-2135 北海道 広尾郡大樹町 南通
089-2136 北海道 広尾郡大樹町 新通
089-2137 北海道 広尾郡大樹町 北通
089-2138 北海道 広尾郡大樹町 柏木町
089-2140 北海道 広尾郡大樹町 栄通
089-2141 北海道 広尾郡大樹町 一条通
089-2142 北海道 広尾郡大樹町 二条通
089-2143 北海道 広尾郡大樹町 三条通
089-2145 北海道 広尾郡大樹町 暁町
089-2146 北海道 広尾郡大樹町 寿通
089-2147 北海道 広尾郡大樹町 鏡町
089-2148 北海道 広尾郡大樹町 麻友
089-2151 北海道 広尾郡大樹町 高校通
089-2152 北海道 広尾郡大樹町 西本通
089-2153 北海道 広尾郡大樹町 南町
089-2154 北海道 広尾郡大樹町 幸町
089-2155 北海道 広尾郡大樹町 緑町
089-2156 北海道 広尾郡大樹町 緑苑
089-2195 北海道 広尾郡大樹町 東本通
089-2261 北海道 広尾郡大樹町 尾田
089-2261 北海道 広尾郡大樹町 拓北
089-2261 北海道 広尾郡大樹町 豊里
089-2262 北海道 広尾郡大樹町 相川
089-2263 北海道 広尾郡大樹町 拓進
089-2271 北海道 広尾郡大樹町 光地園
089-2272 北海道 広尾郡大樹町 幸徳
089-2272 北海道 広尾郡大樹町 住吉
089-2273 北海道 広尾郡大樹町 大光
089-2273 北海道 広尾郡大樹町 大全
089-2445 北海道 広尾郡広尾町 カシュウンナイ
089-2446 北海道 広尾郡広尾町 紋別
089-2447 北海道 広尾郡広尾町 上豊似
089-2447 北海道 広尾郡広尾町 下トヨイ
089-2447 北海道 広尾郡広尾町 下豊似
089-2447 北海道 広尾郡広尾町 トヨイベツ
089-2448 北海道 広尾郡広尾町 上トヨイ
089-2455 北海道 広尾郡広尾町 豊似
089-2492 北海道 広尾郡広尾町 紋別
089-2561 北海道 広尾郡広尾町 野塚
089-2562 北海道 広尾郡広尾町 野塚西通
089-2563 北海道 広尾郡広尾町 野塚東通
089-2564 北海道 広尾郡広尾町 野塚本通
089-2600 北海道 広尾郡広尾町 
089-2601 北海道 広尾郡広尾町 東一条
089-2602 北海道 広尾郡広尾町 東二条
089-2603 北海道 広尾郡広尾町 東三条
089-2604 北海道 広尾郡広尾町 会所通
089-2605 北海道 広尾郡広尾町 会所前
089-2611 北海道 広尾郡広尾町 西一条
089-2612 北海道 広尾郡広尾町 西二条
089-2613 北海道 広尾郡広尾町 西三条
089-2614 北海道 広尾郡広尾町 西四条
089-2615 北海道 広尾郡広尾町 本通
089-2616 北海道 広尾郡広尾町 陣屋
089-2621 北海道 広尾郡広尾町 公園通北
089-2622 北海道 広尾郡広尾町 公園通南
089-2623 北海道 広尾郡広尾町 並木通西
089-2624 北海道 広尾郡広尾町 並木通東
089-2625 北海道 広尾郡広尾町 錦通北
089-2626 北海道 広尾郡広尾町 錦通南
089-2627 北海道 広尾郡広尾町 丸山通北
089-2628 北海道 広尾郡広尾町 丸山通南
089-2631 北海道 広尾郡広尾町 白樺通北
089-2632 北海道 広尾郡広尾町 白樺通南
089-2633 北海道 広尾郡広尾町 美幌
089-2634 北海道 広尾郡広尾町 フンベ
089-2635 北海道 広尾郡広尾町 紅葉通北
089-2636 北海道 広尾郡広尾町 紅葉通南
089-2637 北海道 広尾郡広尾町 茂寄
089-2638 北海道 広尾郡広尾町 茂寄南
089-2692 北海道 広尾郡広尾町 西四条
089-2693 北海道 広尾郡広尾町 西四条
089-2695 北海道 広尾郡広尾町 西一条
089-2696 北海道 広尾郡広尾町 本通
089-2697 北海道 広尾郡広尾町 本通
089-2771 北海道 広尾郡広尾町 音調津
089-2772 北海道 広尾郡広尾町 音調津区画外
089-2773 北海道 広尾郡広尾町 モエケシ
089-2774 北海道 広尾郡広尾町 ルベシベツ
089-2775 北海道 広尾郡広尾町 タニイソ
089-2776 北海道 広尾郡広尾町 ビタタヌンケ
089-3151 北海道 中川郡池田町 大森
089-3152 北海道 中川郡池田町 高島
089-3153 北海道 中川郡池田町 近牛
089-3154 北海道 中川郡池田町 信取
089-3155 北海道 中川郡池田町 美加登
089-3156 北海道 中川郡池田町 常盤
089-3281 北海道 中川郡本別町 勇足元町
089-3282 北海道 中川郡本別町 勇足
089-3283 北海道 中川郡本別町 押帯
089-3284 北海道 中川郡本別町 美蘭別
089-3300 北海道 中川郡本別町 
089-3301 北海道 中川郡本別町 東本別
089-3302 北海道 中川郡本別町 東町
089-3303 北海道 中川郡本別町 向陽町
