300-0000 茨城県 土浦市 
306-0216 茨城県 古河市 前林
306-0221 茨城県 古河市 駒羽根
306-0222 茨城県 古河市 釈迦
306-0223 茨城県 古河市 上砂井
306-0224 茨城県 古河市 砂井新田
306-0225 茨城県 古河市 磯部
306-0226 茨城県 古河市 女沼
306-0231 茨城県 古河市 小堤
306-0232 茨城県 古河市 東牛谷
306-0233 茨城県 古河市 西牛谷
306-0234 茨城県 古河市 上辺見
306-0235 茨城県 古河市 下辺見
306-0236 茨城県 古河市 大堤
306-0300 茨城県 猿島郡五霞町 
306-0301 茨城県 猿島郡五霞町 山王山
306-0302 茨城県 猿島郡五霞町 山王
306-0303 茨城県 猿島郡五霞町 江川
306-0304 茨城県 猿島郡五霞町 幸主
306-0305 茨城県 猿島郡五霞町 冬木
306-0306 茨城県 猿島郡五霞町 原宿台
306-0307 茨城県 猿島郡五霞町 小福田
306-0311 茨城県 猿島郡五霞町 大福田
306-0312 茨城県 猿島郡五霞町 新幸谷
306-0313 茨城県 猿島郡五霞町 元栗橋
306-0314 茨城県 猿島郡五霞町 川妻
306-0315 茨城県 猿島郡五霞町 小手指
306-0316 茨城県 猿島郡五霞町 釈迦
306-0317 茨城県 猿島郡五霞町 前林
306-0392 茨城県 猿島郡五霞町 小福田
306-0400 茨城県 猿島郡境町 
306-0401 茨城県 猿島郡境町 志鳥
306-0402 茨城県 猿島郡境町 猿山
306-0403 茨城県 猿島郡境町 蛇池
306-0404 茨城県 猿島郡境町 長井戸
306-0405 茨城県 猿島郡境町 塚崎
306-0406 茨城県 猿島郡境町 横塚
306-0407 茨城県 猿島郡境町 稲尾
306-0411 茨城県 猿島郡境町 下砂井
306-0412 茨城県 猿島郡境町 栗山
306-0413 茨城県 猿島郡境町 山崎
306-0414 茨城県 猿島郡境町 内門
306-0415 茨城県 猿島郡境町 大歩
306-0416 茨城県 猿島郡境町 伏木
306-0417 茨城県 猿島郡境町 若林
306-0421 茨城県 猿島郡境町 染谷
306-0422 茨城県 猿島郡境町 一ノ谷
306-0423 茨城県 猿島郡境町 百戸
306-0424 茨城県 猿島郡境町 桐ケ作
306-0425 茨城県 猿島郡境町 新田戸
306-0426 茨城県 猿島郡境町 金岡
306-0427 茨城県 猿島郡境町 浦向
306-0431 茨城県 猿島郡境町 西泉田
306-0432 茨城県 猿島郡境町 下小橋
306-0433 茨城県 猿島郡境町 
306-0434 茨城県 猿島郡境町 上小橋
306-0435 茨城県 猿島郡境町 陽光台
306-0492 茨城県 猿島郡境町 下小橋
306-0493 茨城県 猿島郡境町 染谷
306-0495 茨城県 猿島郡境町 
306-0497 茨城県 猿島郡境町 西泉田
306-0501 茨城県 坂東市 逆井
306-0502 茨城県 坂東市 山
306-0503 茨城県 坂東市 生子新田
306-0504 茨城県 坂東市 生子
306-0505 茨城県 坂東市 菅谷
306-0511 茨城県 坂東市 孫兵エ新田
306-0512 茨城県 坂東市 左平太新田
306-0513 茨城県 坂東市 栗山新田
306-0514 茨城県 坂東市 内野山
306-0515 茨城県 坂東市 沓掛
306-0595 茨城県 坂東市 山
306-0600 茨城県 坂東市 
306-0601 茨城県 坂東市 大馬新田
306-0602 茨城県 坂東市 平八新田
306-0603 茨城県 坂東市 勘助新田
306-0604 茨城県 坂東市 幸田新田
306-0605 茨城県 坂東市 馬立
306-0606 茨城県 坂東市 幸田
306-0607 茨城県 坂東市 弓田
306-0608 茨城県 坂東市 幸神平
306-0611 茨城県 坂東市 神田山新田
306-0612 茨城県 坂東市 猫実新田
306-0613 茨城県 坂東市 大口新田
306-0614 茨城県 坂東市 庄右衛門新田
306-0615 茨城県 坂東市 大口
306-0616 茨城県 坂東市 猫実
306-0617 茨城県 坂東市 神田山
306-0621 茨城県 坂東市 大谷口
306-0622 茨城県 坂東市 大崎
306-0623 茨城県 坂東市 法師戸
306-0624 茨城県 坂東市 矢作
306-0625 茨城県 坂東市 莚打
306-0626 茨城県 坂東市 小山
306-0631 茨城県 坂東市 岩井
306-0632 茨城県 坂東市 辺田
306-0633 茨城県 坂東市 下出島
306-0634 茨城県 坂東市 中里
306-0635 茨城県 坂東市 小泉
306-0636 茨城県 坂東市 桐木
306-0637 茨城県 坂東市 みどり町
306-0641 茨城県 坂東市 鵠戸
306-0642 茨城県 坂東市 長谷
306-0643 茨城県 坂東市 木間ケ瀬
306-0644 茨城県 坂東市 古布内
306-0645 茨城県 坂東市 長須
306-0651 茨城県 坂東市 半谷
306-0652 茨城県 坂東市 冨田
306-0653 茨城県 坂東市 駒跿
306-0654 茨城県 坂東市 上出島
306-0655 茨城県 坂東市 みむら
306-0656 茨城県 坂東市 寺久
306-0657 茨城県 坂東市 借宿
306-0692 茨城県 坂東市 岩井
306-8601 茨城県 古河市 長谷町
306-8686 茨城県 古河市 北町
307-0000 茨城県 結城市 
307-0001 茨城県 結城市 結城
307-0002 茨城県 結城市 大谷瀬
307-0003 茨城県 結城市 富士見町
307-0004 茨城県 結城市 みどり町
307-0005 茨城県 結城市 川木谷
307-0006 茨城県 結城市 五助
307-0007 茨城県 結城市 小田林
307-0011 茨城県 結城市 小森
307-0012 茨城県 結城市 久保田
307-0013 茨城県 結城市 中
307-0014 茨城県 結城市 林
307-0015 茨城県 結城市 鹿窪
307-0016 茨城県 結城市 新堤仲通り
307-0017 茨城県 結城市 若宮
307-0021 茨城県 結城市 上山川
307-0022 茨城県 結城市 矢畑
307-0023 茨城県 結城市 山王
307-0024 茨城県 結城市 水海道
307-0025 茨城県 結城市 浜野辺
307-0026 茨城県 結城市 芳賀崎
307-0027 茨城県 結城市 粕礼
307-0028 茨城県 結城市 今宿
307-0031 茨城県 結城市 大木
307-0032 茨城県 結城市 古宿新田
307-0033 茨城県 結城市 山川新宿
307-0034 茨城県 結城市 新宿新田
307-0035 茨城県 結城市 善右ヱ門新田
307-0036 茨城県 結城市 北南茂呂
307-0037 茨城県 結城市 東茂呂
307-0038 茨城県 結城市 七五三場
307-0041 茨城県 結城市 江川大町
307-0042 茨城県 結城市 江川新宿
307-0043 茨城県 結城市 武井
307-0044 茨城県 結城市 田間
307-0045 茨城県 結城市 上成
307-0046 茨城県 結城市 結城作
307-0051 茨城県 結城市 国府町
307-0052 茨城県 結城市 中央町
307-0053 茨城県 結城市 新福寺
307-0054 茨城県 結城市 城南町
307-0055 茨城県 結城市 大橋町
307-8501 茨城県 結城市 結城
307-8502 茨城県 結城市 結城
307-8601 茨城県 結城市 結城
308-0000 茨城県 筑西市 
308-0001 茨城県 筑西市 樋口
308-0002 茨城県 筑西市 落合
308-0003 茨城県 筑西市 蒔田
308-0004 茨城県 筑西市 国府田
308-0005 茨城県 筑西市 中舘
308-0006 茨城県 筑西市 谷部
308-0007 茨城県 筑西市 折本
308-0011 茨城県 筑西市 下高田
308-0012 茨城県 筑西市 奥田
308-0013 茨城県 筑西市 八田
308-0014 茨城県 筑西市 羽方
308-0015 茨城県 筑西市 大関
308-0016 茨城県 筑西市 野
308-0017 茨城県 筑西市 上中山
308-0021 茨城県 筑西市 甲
308-0031 茨城県 筑西市 丙
308-0041 茨城県 筑西市 乙
308-0042 茨城県 筑西市 みどり町
308-0051 茨城県 筑西市 岡芹
308-0052 茨城県 筑西市 菅谷
308-0053 茨城県 筑西市 外塚
308-0054 茨城県 筑西市 西谷貝
308-0055 茨城県 筑西市 石原田
308-0056 茨城県 筑西市 谷中
308-0061 茨城県 筑西市 栗島
308-0062 茨城県 筑西市 西大島
308-0063 茨城県 筑西市 神分
308-0064 茨城県 筑西市 飯島
308-0065 茨城県 筑西市 笹塚
308-0066 茨城県 筑西市 下平塚
308-0067 茨城県 筑西市 上平塚
308-0071 茨城県 筑西市 口戸
308-0072 茨城県 筑西市 柴山
308-0073 茨城県 筑西市 林
308-0074 茨城県 筑西市 筑瀬
308-0075 茨城県 筑西市 石塔
308-0076 茨城県 筑西市 泉
308-0077 茨城県 筑西市 子思儀
308-0101 茨城県 筑西市 井上
308-0102 茨城県 筑西市 黒子
308-0103 茨城県 筑西市 辻
308-0104 茨城県 筑西市 木戸
308-0105 茨城県 筑西市 西保末
308-0106 茨城県 筑西市 稲荷
308-0107 茨城県 筑西市 梶内
308-0108 茨城県 筑西市 中村新田
308-0111 茨城県 筑西市 舟生
308-0112 茨城県 筑西市 藤ケ谷
308-0113 茨城県 筑西市 関舘
308-0114 茨城県 筑西市 花田
308-0115 茨城県 筑西市 花橋
308-0116 茨城県 筑西市 板橋
308-0117 茨城県 筑西市 犬塚
308-0121 茨城県 筑西市 船玉
308-0122 茨城県 筑西市 関本上
308-0123 茨城県 筑西市 関本上中
308-0124 茨城県 筑西市 関本肥土
308-0125 茨城県 筑西市 関本分中
308-0126 茨城県 筑西市 関本中
308-0127 茨城県 筑西市 関本下
308-0128 茨城県 筑西市 江
308-0129 茨城県 筑西市 上野
308-0193 茨城県 筑西市 関舘
308-0194 茨城県 筑西市 舟生
308-0801 茨城県 筑西市 川澄
308-0802 茨城県 筑西市 横島
308-0803 茨城県 筑西市 直井
308-0804 茨城県 筑西市 金丸
308-0805 茨城県 筑西市 稲野辺
308-0806 茨城県 筑西市 小林
308-0807 茨城県 筑西市 高島
308-0811 茨城県 筑西市 茂田
308-0812 茨城県 筑西市 深見
308-0813 茨城県 筑西市 大塚
308-0814 茨城県 筑西市 川連
308-0815 茨城県 筑西市 上川中子
308-0816 茨城県 筑西市 徳持
308-0821 茨城県 筑西市 成田
308-0822 茨城県 筑西市 塚原
308-0823 茨城県 筑西市 島
308-0824 茨城県 筑西市 蕨
308-0825 茨城県 筑西市 下中山
308-0826 茨城県 筑西市 下岡崎
308-0827 茨城県 筑西市 市野辺
308-0831 茨城県 筑西市 東榎生
308-0832 茨城県 筑西市 西榎生
308-0833 茨城県 筑西市 野田
308-0834 茨城県 筑西市 西石田
308-0835 茨城県 筑西市 飯田
308-0836 茨城県 筑西市 旭ケ丘
308-0837 茨城県 筑西市 嘉家佐和
308-0838 茨城県 筑西市 榎生
308-0841 茨城県 筑西市 二木成
308-0842 茨城県 筑西市 一本松
308-0843 茨城県 筑西市 野殿
308-0844 茨城県 筑西市 下野殿
308-0845 茨城県 筑西市 西方
308-0846 茨城県 筑西市 布川
308-0847 茨城県 筑西市 玉戸
308-0848 茨城県 筑西市 幸町
308-0851 茨城県 筑西市 下江連
308-0852 茨城県 筑西市 大谷
308-0853 茨城県 筑西市 伊讃美
308-0854 茨城県 筑西市 女方
308-0855 茨城県 筑西市 下川島
308-0856 茨城県 筑西市 伊佐山
308-0857 茨城県 筑西市 小川
308-0861 茨城県 筑西市 森添島
308-0862 茨城県 筑西市 小塙
308-0863 茨城県 筑西市 灰塚
308-0864 茨城県 筑西市 掉ケ島
308-0865 茨城県 筑西市 山崎
308-0866 茨城県 筑西市 五所宮
308-0867 茨城県 筑西市 西山田
308-8510 茨城県 筑西市 二木成
308-8511 茨城県 筑西市 二木成
308-8512 茨城県 筑西市 一本松
308-8513 茨城県 筑西市 みどり町
308-8521 茨城県 筑西市 小川
308-8522 茨城県 筑西市 伊佐山
308-8523 茨城県 筑西市 下江連
308-8524 茨城県 筑西市 五所宮
308-8540 茨城県 筑西市 下岡崎
308-8608 茨城県 筑西市 二木成
308-8616 茨城県 筑西市 下中山
308-8638 茨城県 筑西市 乙
309-1101 茨城県 筑西市 小栗
309-1102 茨城県 筑西市 蓬田
309-1103 茨城県 筑西市 久地楽
309-1104 茨城県 筑西市 古郡
309-1105 茨城県 筑西市 三郷
309-1106 茨城県 筑西市 新治
309-1107 茨城県 筑西市 門井
309-1108 茨城県 筑西市 井出蛯沢
309-1111 茨城県 筑西市 上星谷
309-1112 茨城県 筑西市 八幡
309-1113 茨城県 筑西市 柳
309-1114 茨城県 筑西市 細田
309-1115 茨城県 筑西市 蓮沼
309-1116 茨城県 筑西市 横塚
309-1117 茨城県 筑西市 向川澄
309-1121 茨城県 筑西市 谷永島
309-1122 茨城県 筑西市 下星谷
309-1123 茨城県 筑西市 下郷谷
309-1124 茨城県 筑西市 知行
309-1125 茨城県 筑西市 大島
309-1126 茨城県 筑西市 清水
309-1127 茨城県 筑西市 桑山
309-1192 茨城県 筑西市 門井
309-1195 茨城県 筑西市 門井
309-1200 茨城県 桜川市 
309-1201 茨城県 桜川市 大泉
309-1202 茨城県 桜川市 飯淵
309-1203 茨城県 桜川市 富岡
309-1204 茨城県 桜川市 久原
309-1205 茨城県 桜川市 堤上
309-1211 茨城県 桜川市 岩瀬
309-1212 茨城県 桜川市 富士見台
309-1213 茨城県 桜川市 西桜川
309-1214 茨城県 桜川市 東桜川
309-1215 茨城県 桜川市 御領
309-1216 茨城県 桜川市 明日香
309-1217 茨城県 桜川市 犬田
309-1221 茨城県 桜川市 西飯岡
309-1222 茨城県 桜川市 長方
309-1223 茨城県 桜川市 鍬田
309-1224 茨城県 桜川市 中泉
309-1225 茨城県 桜川市 下泉
309-1226 茨城県 桜川市 上野原地新田
309-1227 茨城県 桜川市 本郷
309-1231 茨城県 桜川市 本木
309-1232 茨城県 桜川市 大曽根
309-1233 茨城県 桜川市 東飯田
309-1234 茨城県 桜川市 阿部田
309-1241 茨城県 桜川市 青木
309-1242 茨城県 桜川市 羽田
309-1243 茨城県 桜川市 高久
309-1244 茨城県 桜川市 大国玉
309-1245 茨城県 桜川市 金敷
309-1246 茨城県 桜川市 高森
309-1292 茨城県 桜川市 岩瀬
309-1293 茨城県 桜川市 羽田
309-1294 茨城県 桜川市 岩瀬
309-1295 茨城県 桜川市 鍬田
309-1296 茨城県 桜川市 高森
309-1297 茨城県 桜川市 高森
309-1331 茨城県 桜川市 平澤
309-1332 茨城県 桜川市 池亀
309-1333 茨城県 桜川市 山口
309-1334 茨城県 桜川市 坂本
309-1335 茨城県 桜川市 大月
309-1336 茨城県 桜川市 小塩
309-1337 茨城県 桜川市 福崎
309-1341 茨城県 桜川市 門毛
309-1342 茨城県 桜川市 間中
309-1343 茨城県 桜川市 亀岡
309-1344 茨城県 桜川市 南飯田
309-1345 茨城県 桜川市 入野
309-1346 茨城県 桜川市 中里
309-1347 茨城県 桜川市 富谷
309-1451 茨城県 桜川市 西小塙
309-1452 茨城県 桜川市 加茂部
309-1453 茨城県 桜川市 友部
309-1454 茨城県 桜川市 上城
309-1455 茨城県 桜川市 水戸
309-1456 茨城県 桜川市 青柳
309-1457 茨城県 桜川市 磯部
309-1458 茨城県 桜川市 稲
309-1461 茨城県 桜川市 松田
309-1462 茨城県 桜川市 曽根
309-1463 茨城県 桜川市 高幡
309-1464 茨城県 桜川市 今泉
309-1465 茨城県 桜川市 木植
309-1466 茨城県 桜川市 猿田
309-1600 茨城県 笠間市 
309-1601 茨城県 笠間市 大橋
309-1602 茨城県 笠間市 池野辺
309-1603 茨城県 笠間市 福田
309-1604 茨城県 笠間市 大渕
309-1605 茨城県 笠間市 飯田
309-1606 茨城県 笠間市 日沢
309-1607 茨城県 笠間市 石寺
309-1611 茨城県 笠間市 笠間
309-1612 茨城県 笠間市 日草場
309-1613 茨城県 笠間市 石井
309-1614 茨城県 笠間市 寺崎
309-1615 茨城県 笠間市 金井
309-1616 茨城県 笠間市 赤坂
309-1621 茨城県 笠間市 手越
309-1622 茨城県 笠間市 南吉原
309-1623 茨城県 笠間市 上加賀田
309-1624 茨城県 笠間市 北吉原
309-1625 茨城県 笠間市 来栖
309-1626 茨城県 笠間市 下市毛
309-1631 茨城県 笠間市 箱田
309-1632 茨城県 笠間市 飯合
309-1633 茨城県 笠間市 本戸
309-1634 茨城県 笠間市 福原
309-1635 茨城県 笠間市 稲田
309-1636 茨城県 笠間市 大郷戸
309-1637 茨城県 笠間市 片庭
309-1698 茨城県 笠間市 石井
309-1701 茨城県 笠間市 小原
309-1702 茨城県 笠間市 五平
309-1703 茨城県 笠間市 鯉淵
309-1704 茨城県 笠間市 美原
309-1705 茨城県 笠間市 東平
309-1706 茨城県 笠間市 鴻巣
309-1711 茨城県 笠間市 随分附
309-1712 茨城県 笠間市 長兎路
309-1713 茨城県 笠間市 柏井
309-1714 茨城県 笠間市 仁古田
309-1715 茨城県 笠間市 湯崎
309-1716 茨城県 笠間市 住吉
309-1717 茨城県 笠間市 旭町
309-1721 茨城県 笠間市 橋爪
309-1722 茨城県 笠間市 平町
309-1723 茨城県 笠間市 矢野下
309-1724 茨城県 笠間市 大古山
309-1725 茨城県 笠間市 南小泉
309-1726 茨城県 笠間市 下加賀田
309-1731 茨城県 笠間市 上市原
309-1732 茨城県 笠間市 中市原
309-1733 茨城県 笠間市 下市原
309-1734 茨城県 笠間市 南友部
309-1735 茨城県 笠間市 友部駅前
309-1736 茨城県 笠間市 八雲
309-1737 茨城県 笠間市 中央
309-1738 茨城県 笠間市 大田町
309-1792 茨城県 笠間市 中央
309-1793 茨城県 笠間市 鯉淵
